frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,670,769,792,880,15.72
0,1,576,575,677,660,30.4
0,2,987,532,1051,603,30.55
0,3,600,406,682,468,45.28
0,4,749,500,811,587,32.73
0,5,1101,465,1177,533,36.37
0,6,438,548,554,626,35.4
0,7,863,424,951,486,41.42
0,8,1334,617,1463,711,27.26
0,9,753,393,831,451,45.0
0,10,565,469,670,532,39.52
0,11,1087,570,1197,649,27.89
0,12,1053,715,1186,807,17.9
0,13,814,616,921,692,25.48
0,14,1247,372,1344,434,48.13
0,15,1263,502,1355,583,33.53
0,16,1118,363,1196,421,48.19
0,17,475,406,569,469,48.41
0,19,262,816,425,921,22.37
1,0,670,769,792,880,15.89
1,1,988,532,1051,602,30.49
1,2,578,574,676,660,30.31
1,3,600,406,682,468,44.97
1,4,748,499,811,587,32.86
1,5,1101,466,1176,532,36.27
1,6,863,424,952,486,41.35
1,7,437,548,554,626,35.48
1,8,566,469,668,532,39.55
1,9,753,393,831,450,45.39
1,10,1052,715,1188,807,17.97
1,11,1086,570,1198,649,27.92
1,12,1330,618,1465,713,27.23
1,13,814,616,921,692,25.55
1,14,1262,502,1353,582,33.43
1,15,1249,371,1342,433,48.34
1,16,1115,362,1196,420,48.2
1,17,475,406,569,469,48.99
1,18,1663,704,1842,825,29.55
1,19,259,815,428,922,23.28
2,0,670,769,792,880,15.69
2,1,987,532,1051,602,30.51
2,2,578,574,677,659,30.38
2,3,599,405,682,468,44.82
2,4,748,499,811,587,32.83
2,5,1100,465,1177,532,36.23
2,6,863,424,951,486,41.19
2,7,1337,617,1462,710,27.25
2,8,438,548,555,627,35.33
2,9,565,469,670,531,39.89
2,10,1084,570,1198,649,28.01
2,11,753,392,832,451,45.19
2,12,1052,715,1187,806,18.06
2,13,813,616,922,692,25.48
2,14,1249,372,1343,434,48.11
2,15,1263,502,1356,583,33.71
2,16,476,406,569,469,48.53
2,17,1117,363,1196,421,48.04
2,19,268,815,421,921,23.4
3,0,670,769,792,879,15.8
3,1,578,574,677,660,30.13
3,2,987,531,1051,602,30.55
3,3,599,406,682,468,45.1
3,4,748,499,811,586,32.93
3,5,1101,465,1177,532,36.36
3,6,438,547,554,626,35.52
3,7,862,425,952,486,41.12
3,8,1052,715,1187,807,18.07
3,9,1332,617,1464,711,27.25
3,10,1086,570,1197,649,27.98
3,11,565,469,670,532,40.01
3,12,815,616,921,692,25.51
3,13,754,392,832,451,44.85
3,14,1263,501,1354,583,33.72
3,15,1249,371,1342,434,47.91
3,16,1118,363,1195,420,47.86
3,17,476,406,568,468,48.42
3,19,262,816,426,921,23.62
4,0,669,769,792,880,15.88
4,1,988,531,1051,603,30.52
4,2,578,575,677,660,30.19
4,3,600,406,683,468,45.44
4,4,748,499,811,586,33.04
4,5,863,424,952,486,41.22
4,6,1100,466,1177,532,36.18
4,7,1335,617,1464,713,27.23
