frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1071,85,1109,120,103.6
0,1,959,84,1011,122,103.01
0,2,780,84,826,121,104.08
0,3,1108,70,1151,110,110.58
0,4,1068,54,1107,93,120.26
0,6,830,60,866,97,120.59
0,7,865,84,918,119,101.8
0,8,883,60,924,94,123.93
0,9,1168,60,1205,101,121.24
0,10,942,57,981,101,114.46
0,11,757,63,798,101,124.58
0,12,993,61,1039,97,113.56
0,13,993,39,1039,69,123.21
0,14,1081,33,1118,65,148.82
1,0,1072,85,1109,120,103.8
1,1,780,83,826,121,103.52
1,2,959,84,1011,122,102.03
1,3,1109,70,1152,109,110.1
1,4,830,59,867,97,118.28
1,5,1068,56,1106,93,117.81
1,7,884,60,924,95,127.68
1,8,866,83,918,119,101.46
1,9,757,63,798,101,127.12
1,10,1168,60,1205,101,119.42
1,11,942,57,981,101,123.7
1,12,992,39,1039,69,130.63
1,13,993,60,1039,96,115.04
1,14,1084,40,1120,68,138.08
2,0,780,83,826,121,103.62
2,1,959,84,1009,122,101.88
2,2,1072,84,1109,120,103.44
2,3,1109,70,1151,109,110.7
2,4,830,60,866,97,113.73
2,5,1199,85,1235,122,102.64
2,6,1068,55,1105,93,117.98
2,7,865,82,919,119,101.65
2,8,884,60,925,94,119.99
2,9,1168,60,1205,100,120.53
2,10,942,57,980,101,117.02
2,11,757,63,798,101,127.75
2,12,993,40,1039,69,124.52
2,13,993,61,1037,97,113.62
2,14,1086,41,1120,69,135.45
3,0,1109,70,1151,110,111.49
3,1,780,84,827,121,103.48
3,2,959,85,1010,123,101.72
3,3,1071,85,1109,120,104.7
3,4,1068,56,1107,93,117.86
3,5,830,60,866,97,116.82
3,6,1199,85,1235,122,102.25
3,7,884,61,924,95,119.3
3,8,866,82,919,119,101.81
3,9,757,63,798,101,127.75
3,10,1168,60,1205,100,120.6
3,11,942,58,980,101,121.4
3,12,993,40,1040,69,122.48
3,13,993,60,1039,97,113.71
3,14,1081,30,1118,62,150.55
4,0,780,84,826,121,103.55
4,1,1072,84,1110,120,104.44
4,2,959,85,1010,123,101.54
4,3,1110,71,1151,109,111.23
4,4,831,60,866,97,118.91
4,5,1068,56,1105,93,119.23
4,7,865,84,918,119,101.51
4,8,884,60,924,94,123.04
4,9,942,58,981,101,125.63
4,10,1168,59,1205,101,121.92
4,11,757,63,798,100,126.86
4,12,992,39,1039,69,126.43
4,13,992,60,1038,97,116.54
4,14,1087,41,1120,68,129.91
5,0,780,84,827,121,103.74
5,1,1109,70,1151,110,111.51
5,2,959,84,1010,123,101.97
5,3,1072,85,1109,120,104.28
5,4,1068,55,1106,93,118.83
5,5,829,60,866,97,116.17
5,6,1199,85,1234,122,102.38
5,7,884,61,924,95,125.42
5,8,866,83,918,119,101.44
5,9,1168,60,1205,101,122.11
5,10,942,57,980,100,116.07
5,11,757,63,798,101,128.07
5,12,993,60,1038,97,113.49
5,13,993,39,1040,68,125.92
5,14,1085,40,1120,67,136.36
6,0,1109,71,1151,109,110.07
6,1,959,84,1010,123,102.03
6,2,780,84,827,120,104.28
6,3,1072,85,1109,120,103.52
6,4,1068,55,1106,93,119.28
6,5,830,60,866,97,122.54
6,6,1199,85,1234,122,102.1
6,7,885,60,925,94,131.04
6,8,866,84,919,119,101.49
6,9,1169,60,1205,101,120.93
6,10,993,60,1040,97,113.05
6,11,942,58,979,101,116.41
6,12,757,63,798,101,127.66
6,13,992,39,1039,69,141.44
6,14,1087,41,1120,68,139.53
7,0,1072,84,1109,120,106.91
7,1,959,84,1011,123,103.31
7,2,1109,70,1151,109,111.65
7,3,780,84,827,121,103.59
7,4,1068,55,1106,93,118.47
7,5,830,60,866,97,116.0
7,6,1199,85,1235,121,102.85
7,7,867,82,919,119,102.29
7,8,884,60,925,94,115.98
7,9,1167,60,1205,101,118.1
7,10,757,63,798,101,125.8
7,11,942,57,981,101,115.37
7,12,993,39,1039,69,125.41
7,13,993,59,1039,96,114.17
7,14,1085,40,1120,67,135.33
8,0,959,83,1010,123,101.83
8,1,1109,71,1151,110,111.04
8,2,780,83,827,121,103.73
8,3,1071,85,1109,120,105.26
8,5,830,60,866,97,121.01
8,6,1068,55,1106,93,119.02
8,7,866,82,919,119,101.57
8,8,883,60,924,94,132.08
8,9,1168,60,1205,101,120.73
8,10,942,57,981,101,121.16
8,11,993,60,1039,96,114.86
8,12,993,39,1038,69,126.19
8,13,757,62,798,100,128.45
8,14,1082,31,1118,63,150.49
9,0,780,85,826,121,103.57
9,1,958,84,1010,122,102.52
9,2,1072,84,1109,120,104.27
9,3,1199,85,1234,122,102.21
9,4,1108,69,1151,110,112.25
9,5,830,60,866,97,118.03
9,6,1068,56,1106,93,117.58
9,7,884,61,924,94,126.36
9,8,867,83,919,119,101.8
9,9,1168,60,1205,100,122.37
9,10,993,61,1039,97,114.11
9,11,942,58,981,101,114.57
9,12,992,39,1039,68,122.58
9,13,758,64,797,101,127.55
9,14,1082,32,1118,64,145.36
10,0,780,84,826,121,103.65
