frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,951,353,1019,408,55.4
0,1,1303,343,1380,403,55.84
0,2,721,375,797,432,50.57
0,3,584,295,649,346,68.62
0,4,1057,348,1135,411,54.3
0,5,811,323,876,371,59.6
0,6,771,271,816,329,67.7
0,7,995,250,1053,305,69.7
0,8,867,275,909,327,65.74
0,9,777,227,835,270,80.18
0,10,1127,315,1203,372,58.52
0,11,851,240,909,284,73.29
0,12,667,303,736,362,63.92
0,13,941,222,982,271,79.25
0,14,1156,269,1220,319,66.78
0,15,655,260,722,309,71.63
0,16,509,388,591,449,55.83
0,17,682,230,735,276,83.7
0,18,603,234,656,281,81.89
0,19,1113,215,1177,260,79.08
1,0,951,353,1019,408,55.81
1,1,1303,343,1381,403,55.68
1,2,720,375,797,432,51.08
1,3,584,295,649,346,68.48
1,4,812,323,875,371,59.7
1,5,1056,348,1135,410,55.56
1,6,771,271,816,328,67.72
1,7,995,250,1054,304,69.84
1,8,867,274,909,327,66.06
1,9,1128,315,1202,372,58.68
1,10,777,227,835,270,80.33
1,11,508,389,591,449,55.56
1,12,667,303,735,363,63.83
1,13,851,239,909,284,74.02
1,14,655,260,722,308,71.43
1,15,941,222,983,272,79.35
1,16,1155,269,1220,320,66.38
1,17,599,234,655,281,81.29
1,18,681,230,734,276,82.0
1,19,1114,216,1177,260,77.96
2,0,951,353,1019,408,55.78
2,1,1303,344,1382,404,55.38
2,2,721,374,797,432,50.32
2,3,585,295,649,345,68.35
2,4,811,322,876,372,59.78
2,5,1057,347,1135,411,55.2
2,6,771,270,816,328,68.29
2,7,995,249,1054,304,70.69
2,8,867,275,909,327,65.93
2,9,1128,315,1204,372,58.58
2,10,777,226,835,270,79.48
2,11,851,239,909,284,73.98
2,12,941,222,982,271,79.4
2,13,668,303,735,363,63.74
2,14,1155,269,1221,320,66.79
2,15,655,260,722,308,71.46
2,16,600,234,656,281,80.87
2,17,510,389,590,449,54.95
2,18,681,230,734,276,81.7
2,19,1113,215,1178,259,78.67
3,0,951,352,1019,408,56.06
3,1,722,374,796,432,50.63
3,2,1302,344,1382,404,55.57
3,3,585,295,649,346,68.45
3,4,810,322,876,372,59.57
3,5,1057,347,1135,410,55.57
3,6,771,270,817,329,67.78
3,7,995,250,1054,304,70.48
3,8,866,275,909,327,65.6
3,9,777,226,835,270,80.81
3,10,1127,315,1203,372,58.65
3,11,599,234,655,280,81.19
3,12,668,304,735,363,63.53
3,13,851,238,909,284,74.03
3,14,1154,269,1222,320,66.22
3,15,941,223,982,271,79.03
3,16,655,260,723,308,71.31
3,17,1111,214,1181,261,78.77
3,18,509,389,590,449,55.22
3,19,682,231,734,277,82.01
4,0,951,353,1019,408,55.98
4,1,723,375,796,432,50.56
4,2,1303,343,1382,404,55.66
4,3,585,295,649,346,68.37
4,4,811,323,876,372,59.54
4,5,1057,347,1135,410,55.15
4,6,771,271,816,329,67.83
4,7,996,251,1054,304,70.46
4,8,868,275,909,327,65.92
4,9,777,227,834,270,79.78
4,10,1127,315,1203,373,58.44
4,11,851,239,909,284,74.38
4,12,941,223,982,271,79.36
4,13,668,303,735,363,63.62
4,14,1155,269,1221,320,66.26
4,15,655,260,722,308,71.27
4,16,681,230,735,277,80.86
4,17,600,234,655,281,81.26
4,18,509,390,590,449,54.38
4,19,1113,215,1177,260,78.36
5,0,951,353,1019,409,56.0
5,1,722,374,796,432,50.85
5,2,1304,345,1381,404,55.42
5,3,585,295,650,345,68.61
5,4,810,323,876,371,59.4
5,5,1057,347,1135,410,54.88
5,6,771,271,816,328,67.87
5,7,995,251,1054,304,69.88
5,8,867,275,909,326,66.03
5,9,777,226,835,270,79.37
5,10,1127,315,1203,372,58.5
5,11,851,239,909,284,72.86
5,12,598,234,655,280,80.95
5,13,510,389,590,449,54.82
5,14,1155,270,1221,319,66.58
5,15,941,222,983,272,78.97
5,16,667,304,735,363,63.65
5,17,655,260,722,308,71.41
5,18,681,230,734,276,83.69
5,19,1114,215,1177,260,78.53
6,0,951,352,1019,408,56.3
6,1,1303,344,1382,404,55.55
6,2,722,375,797,432,50.75
6,3,585,295,649,345,68.62
6,4,1058,348,1135,410,55.11
6,5,811,323,876,372,59.56
6,6,771,271,816,328,67.96
6,7,994,251,1055,304,70.01
6,8,867,275,909,327,65.27
6,9,778,226,835,270,79.04
6,10,1128,316,1203,372,58.52
6,11,851,239,909,284,73.87
6,12,600,234,656,281,80.93
6,13,667,304,735,362,63.74
6,14,1156,269,1222,320,66.63
6,15,655,260,722,308,71.37
6,16,941,222,983,271,79.28
6,17,682,230,735,276,82.49
6,18,511,389,590,449,55.63
6,19,1112,216,1177,260,78.28
7,0,951,353,1019,408,56.06
7,1,722,374,796,432,50.71
7,2,1302,343,1383,403,55.39
7,3,584,295,649,346,68.39
7,4,1057,347,1135,410,55.35
7,5,810,323,876,372,59.11
7,6,771,270,817,328,68.09
7,7,994,250,1055,304,69.84
7,8,509,389,590,448,54.88
7,9,867,275,909,327,65.55
7,10,1129,315,1202,372,58.44
7,11,777,226,835,270,78.8
7,12,851,238,909,284,73.86
7,13,940,222,983,271,78.84
7,14,667,304,735,363,63.8
7,15,1156,270,1221,320,66.61
7,16,655,260,722,308,71.55
7,17,600,234,656,281,80.85
7,18,681,230,735,276,82.21
7,19,1113,215,1179,259,79.11
8,0,951,353,1019,409,55.67
8,1,722,375,797,432,50.68
