frame;ID;left_xmin;left_ymin;left_xmax;left_ymax;f;C_x;C_y;x_il;v_il;x_ir;v_ir;disparitas;X_val;Y_val;Z_val;distance_cm;;X_actual;Y_actual;Z_actual
1;5;845;238;904;288;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;263;718;262;156;-0.06860238945027783;0.21525973668324952;0.8096706665023495;81.65;;;;
1;6;1020;185;1068;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1044;209;926;208;118;0.08224289181169037;0.23700719796183484;10.978.786.237.945.600;110.83;;;;
1;7;1233;212;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;231;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;;;
1;8;1085;199;1134;248;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1109;223;983;223;126;0.1389460139572358;0.23350988231864744;10.215.032.098.694.100;103.79;;;;
1;9;1380;203;1424;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1402;227;1275;227;127;0.4147923750557977;0.23494545312750648;10.115.694.991.860.400;110.02;;;;
1;10;506;281;574;352;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;540;316;341;317;199;-0.25525128939464925;0.19643332483375078;0.6187316073000209;66.83;;;;
1;11;866;190;917;234;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;891;212;764;213;127;-0.06819928626331546;0.22266708575416788;10.186.584.178.942.500;102.56;;;;
1;12;488;357;599;443;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;543;400;304;395;239;-0.2110246423395746;0.20009458794073143;0.4940834764327528;53.73;;;;
1;13;1264;186;1315;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1289;209;1171;209;118;0.3314764574680008;0.23700719796183484;10.978.786.237.945.600;115.39;;;;
1;14;1224;243;1285;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1254;266;1104;263;150;0.2327523744010705;0.22594926302579818;0.840857102927854;87.88;;;;
1;15;896;317;979;375;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;937;346;732;346;205;-0.01531470378697078;0.2058972534377776;0.5918390463454624;59.41;;;;
1;16;1456;298;1521;354;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1488;326;1300;324;188;0.33511695558274823;0.21345638340173265;0.6517414613585605;73.66;;;;
1;17;1438;224;1491;265;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1464;244;1326;245;138;0.4356597904821861;0.229024194863255;0.9235434398349756;102.72;;;;
1;18;1136;258;1194;304;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1165;281;1001;281;164;0.14774014068483743;0.21616915920904714;0.7635870290441215;78.21;;;;
1;19;569;267;633;322;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;601;294;420;293;181;-0.24018025501955134;0.20333249215014293;0.6875581166339928;72.92;;;;
1;20;708;204;766;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;737;227;603;227;134;-0.2025919325979145;0.22267218318800988;0.9587263163927445;98.48;;;;
2;0;677;310;744;368;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;710;339;506;337;204;-0.14896261079172746;0.20333940710008763;0.5967997111908145;61.62;;;;
2;1;924;258;995;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;959;283;795;283;164;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;76.76;;;;
2;2;1501;243;1551;294;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1526;268;1374;268;152;0.44449651671708595;0.2243440996144184;0.8290034632613101;94.61;;;;
2;3;1252;282;1323;347;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1287;314;1108;311;179;0.217173988459811;0.21721965337650578;0.6885342395316374;72.69;;;;
2;4;845;238;904;288;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;263;718;262;156;-0.06860238945027783;0.21525973668324952;0.8096706665023495;81.65;;;;
2;5;1316;268;1381;321;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1348;294;1177;295;171;0.2701551132473836;0.21522328116477116;0.7277661936301327;78.04;;;;
2;6;1233;211;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;230;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;;;
2;7;1020;184;1068;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1044;208;926;208;118;0.08224289181169037;0.236126207760471;10.983.872.637.244.700;110.86;;;;
2;8;488;357;599;442;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;543;399;305;395;238;-0.21191130050066526;0.20049852804232723;0.49641164024856055;53.99;;;;
2;9;1085;199;1134;249;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1109;224;983;223;126;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;103.76;;;;
2;10;1380;204;1423;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1401;227;1276;227;125;0.4204687408690188;0.23870458037754655;10.277.546.111.730.200;111.81;;;;
2;11;1224;243;1284;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1254;266;1104;263;150;0.2327523744010705;0.22594926302579818;0.840857102927854;87.88;;;;
2;12;866;190;918;234;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;892;212;764;213;128;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;101.72;;;;
2;13;505;281;573;352;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;539;316;342;316;197;-0.2584520081877876;0.19842757178637765;0.6250131464604272;67.59;;;;
2;14;1265;185;1314;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1289;208;1171;208;118;0.3314764574680008;0.236126207760471;10.983.872.637.244.700;115.42;;;;
2;15;896;317;979;375;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;937;346;732;345;205;-0.01531470378697078;0.2058972534377776;0.5918390463454624;59.41;;;;
