frame;ID;X_pc;Y_pc;Z_pc;Z_slant_pc;cm_pc;X_ts;Y_ts;Z_ts;Z_slant_ts;cm_ts;X_actual;Y_actual;Z_actual;jarak actual;
0;13;-0.21194333;0.20432705;0.4884739;0.57824564;54.26;-0.2096452103987474;0.19882770697530783;0.49227487657982255;0.5708048050041918;53.46;0,19;0,21;0,49;53;
0;14;-0.019117802;0.21124896;0.58140373;0.64018244;60.81;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;0;0,21;0,55;60;
0;15;-0.26261085;0.20527929;0.6169368;0.7336505;70.59;-0.2597706408826233;0.19943995735671632;0.6282019890444089;0.7084453553340366;67.96;0,23;0,21;0,63;67;
0;16;0.15432012;0.22674195;0.76890445;0.83295083;80.86;0.14774014068483743;0.21553527601538292;0.7639530016766183;0.8074074517536471;78.22;0,17;0,21;0,75;79;
0;17;0.3423278;0.22359906;0.64543283;0.8061885;78.1;0.33511695558274823;0.21345638340173265;0.6517414613585605;0.7633046141533464;73.66;0,35;0,21;0,69;72;
0;18;0.83066547;0.42154646;17.956.126;1.746.574;173.51;0.4356597904821861;0.22977750532529073;0.9231085158369359;1.046.291.779.097.570;102.7;0,45;0,21;0,97;97;.
0;19;-0.24413557;0.20373698;0.6952411;0.76873446;74.23;-0.24018025501955134;0.20333249215014293;0.6875581166339928;0.7561526439909656;72.92;0,23;0,21;0,69;73;
0;20;-0.20392624;0.23144555;0.9557085;10.955.441;107.71;-0.2025919325979145;0.22344798052950937;0.9582784095887932;10.046.243.086.052.100;98.45;0,15;0,21;0,95;98;.
1;0;-0.14765999;0.21110612;0.5896202;0.6709802;64.05;-0.14837418420614434;0.20333940710008763;0.5967997111908145;0.6477126741820741;61.61;;;;;
1;1;-0.0038102318;0.22539334;0.76500136;0.82199293;79.73;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;0.7932439351239569;76.76;;;;;
1;2;0.4458219;0.23183769;0.81670386;0.97788125;95.72;0.44449651671708595;0.2243440996144184;0.8290034632613101;0.9670336966748745;94.61;;;;;
1;3;0.21468964;0.22319108;0.67688924;0.7669336;74.04;0.21839406704666392;0.21902401571997454;0.6920652211485037;0.7580380981894074;73.12;;;;;
1;4;0.28275776;0.22685;0.7339198;0.8925934;86.99;0.27103814906966844;0.2164893004657404;0.7320471712397217;0.810075525113144;78.5;;;;;
1;5;-0.073145024;0.22525106;0.8064407;0.89581;87.32;-0.06860238945027783;0.21525973668324952;0.8096706665023495;0.8406007555728156;81.65;;;;;
1;6;0.0923706;0.25338197;10.925.918;11.304.864;111.27;0.08224289181169037;0.23700719796183484;10.978.786.237.945.600;11.261.766.192.406.500;110.83;;;;;
1;7;0.2853356;0.24482073;10.032.563;10.979.314;107.96;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;;;;;
1;8;0.13670547;0.24311502;0.9982597;10.407.032;102.13;0.1389460139572358;0.23350988231864744;10.215.032.098.694.100;1.057.024.913.475.820;103.79;;;;;
1;9;0.73294616;0.400989;18.475.888;1.698.411;168.66;0.4147923750557977;0.23494545312750648;10.115.694.991.860.400;11.182.687.208.507.700;110.02;;;;;
1;10;-0.25738114;0.20359775;0.61478674;0.7104063;68.17;-0.25525128939464925;0.19643332483375078;0.6187316073000209;0.6975443166673642;66.83;;;;;
1;11;-0.07545245;0.25196233;10.930.413;11.266.776;110.88;-0.06819928626331546;0.22266708575416788;10.186.584.178.942.500;10.449.386.326.822.700;102.56;;;;;
1;12;-0.2133359;0.20592181;0.4882247;0.58526146;55.0;-0.2110246423395746;0.20009458794073143;0.4940834764327528;0.573312938526239;53.73;;;;;
1;13;0.33469847;0.25096917;10.935.131;14.013.044;138.7;0.3314764574680008;0.23700719796183484;10.978.786.237.945.600;11.710.621.359.801.100;115.39;;;;;
1;14;0.23599857;0.23388217;0.84845006;0.92503935;90.32;0.2327523744010705;0.22594926302579818;0.840857102927854;0.9012587890253615;87.88;;;;;
1;15;-0.017362269;0.21147352;0.5809914;0.7093138;68.05;-0.01531470378697078;0.2058972534377776;0.5918390463454624;0.6268186946034789;59.41;;;;;
1;16;0.34156406;0.22405413;0.6456235;0.810207;78.51;0.33511695558274823;0.21345638340173265;0.6517414613585605;0.7633046141533464;73.66;;;;;
1;17;0.443052;0.24312973;0.9358274;10.895.832;107.11;0.4356597904821861;0.229024194863255;0.9235434398349756;1.046.510.401.352.010;102.72;;;;;
1;18;0.1630593;0.23114543;0.775901;0.89970976;87.72;0.14774014068483743;0.21616915920904714;0.7635870290441215;0.8072307015266142;78.21;;;;;
1;19;-0.24461496;0.20369305;0.6958344;0.76929873;74.28;-0.24018025501955134;0.20333249215014293;0.6875581166339928;0.7561526439909656;72.92;;;;;
1;20;-0.20040597;0.2310622;0.95585614;10.294.701;100.99;-0.2025919325979145;0.22267218318800988;0.9587263163927445;1.004.879.366.920.960;98.48;;;;;
2;0;-0.14759184;0.20687735;0.5891273;0.65614504;62.49;-0.14896261079172746;0.20333940710008763;0.5967997111908145;0.6478477206652367;61.62;;;;;
2;1;-0.0023100649;0.22378446;0.76528347;0.81327635;78.83;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;0.7932439351239569;76.76;;;;;
2;2;0.44597277;0.23262991;0.8176205;0.9702723;94.94;0.44449651671708595;0.2243440996144184;0.8290034632613101;0.9670336966748745;94.61;;;;;
2;3;0.21577431;0.22343709;0.67637986;0.8029688;77.77;0.217173988459811;0.21721965337650578;0.6885342395316374;0.7539418532512714;72.69;;;;;
2;4;-0.07474068;0.22609729;0.8080112;0.8838287;86.09;-0.06860238945027783;0.21525973668324952;0.8096706665023495;0.8406007555728156;81.65;;;;;
2;5;0.28022903;0.22551814;0.7328073;0.9062277;88.39;0.2701551132473836;0.21522328116477116;0.7277661936301327;0.8055733849624929;78.04;;;;;
2;6;0.2839235;0.24521957;0.9935167;11.065.185;108.83;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;;;;;
2;7;0.090320215;0.25136873;10.886.568;11.222.558;110.43;0.08224289181169037;0.236126207760471;10.983.872.637.244.700;1.126.487.487.883.030;110.86;;;;;
2;8;-0.21093777;0.20407733;0.48736703;0.57674676;54.1;-0.21191130050066526;0.20049852804232723;0.49641164024856055;0.5757869185743016;53.99;;;;;
2;9;0.13503802;0.24468023;0.99833155;10.436.348;102.43;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;10.567.472.334.625.300;103.76;;;;;
2;10;0.75608665;0.41039485;1.876.138;18.938.899;188.33;0.4204687408690188;0.23870458037754655;10.277.546.111.730.200;11.358.051.679.441.300;111.81;;;;;
2;11;0.23790075;0.23367858;0.8440541;0.9399524;91.84;0.2327523744010705;0.22594926302579818;0.840857102927854;0.9012587890253615;87.88;;;;;
2;12;-0.07384362;0.24730657;10.764.658;11.094.636;109.13;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;10.367.142.649.125.500;101.72;;;;;
2;13;-0.26417905;0.2074678;0.6169167;0.736538;70.89;-0.2584520081877876;0.19842757178637765;0.6250131464604272;0.7048491860176201;67.59;;;;;
2;14;0.3345009;0.25420558;10.989.482;11.812.782;116.42;0.3314764574680008;0.236126207760471;10.983.872.637.244.700;11.713.610.924.727.700;115.42;;;;;
2;15;-0.016805787;0.20868085;0.5807699;0.6327683;60.03;-0.01531470378697078;0.2058972534377776;0.5918390463454624;0.6268186946034789;59.41;;;;;
2;16;0.3420748;0.22447807;0.6472533;0.817483;79.26;0.3339789771059028;0.21232698454775525;0.6482930938381448;0.7595450223877986;73.27;;;;;
2;17;0.4573744;0.2436626;0.9322807;14.177.287;140.36;0.433389137482019;0.228124429747411;0.9164674473776774;10.391.243.823.710.100;101.97;;;;;
2;18;0.15733892;0.229613;0.77302146;0.8636164;84.01;0.1479100861892907;0.21685757832222577;0.7686398299077631;0.8122264407127724;78.72;;;;;
2;19;-0.2440744;0.20442975;0.6979921;0.7707116;74.43;-0.24018025501955134;0.20333249215014293;0.6875581166339928;0.7561526439909656;72.92;;;;;
