frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1025,91,1078,134,93.61
0,1,754,75,798,120,101.93
0,2,952,97,1000,137,93.92
0,3,805,106,853,150,92.14
0,4,659,112,716,163,93.72
0,5,937,28,969,70,120.08
0,6,1119,78,1162,120,96.73
0,7,855,83,899,122,98.89
0,8,888,57,921,101,103.95
0,9,820,58,855,100,105.67
0,10,688,73,734,114,103.44
0,11,735,53,781,90,108.1
0,12,804,34,849,70,121.13
0,13,873,34,908,70,125.66
0,14,1067,23,1112,62,125.08
0,15,983,44,1022,84,112.26
0,16,685,38,727,81,121.47
0,17,1186,49,1226,93,106.22
0,18,1195,82,1243,130,95.88
1,0,754,74,798,120,101.65
1,1,952,96,1000,136,94.5
1,2,1025,91,1078,134,94.88
1,3,937,28,969,70,120.85
1,4,804,106,852,150,90.93
1,5,659,112,715,163,93.99
1,6,1119,78,1162,121,96.52
1,7,856,83,899,122,98.83
1,8,888,58,921,102,103.28
1,9,820,58,855,100,105.43
1,10,686,74,732,114,103.42
1,11,873,33,907,71,125.34
1,12,984,45,1022,84,110.56
1,13,735,53,782,90,108.22
1,14,1067,22,1112,62,125.26
1,15,804,33,850,70,123.01
1,16,684,38,726,81,120.71
1,17,1186,49,1227,93,107.15
1,18,1193,82,1243,129,96.05
2,0,754,75,798,120,101.56
2,1,952,96,1000,137,94.25
2,2,1025,91,1078,135,94.44
2,3,804,106,852,150,91.04
2,4,659,110,715,163,93.93
2,5,937,28,969,70,121.59
2,6,1119,77,1162,120,96.7
2,7,855,83,898,122,98.55
2,8,888,57,920,102,103.5
2,9,820,57,854,100,105.04
2,10,687,73,733,114,103.57
2,11,983,45,1022,85,110.66
2,12,736,53,782,90,107.99
2,13,1067,22,1112,62,125.33
2,14,873,33,908,70,126.82
2,15,684,37,726,80,120.07
2,16,1187,49,1227,93,107.25
2,17,808,34,851,70,122.61
2,18,1194,82,1242,130,95.38
3,0,754,75,798,120,101.51
3,1,1025,91,1078,134,95.14
3,2,952,97,999,136,94.29
3,3,804,106,852,150,91.33
3,4,937,29,969,70,121.38
3,5,659,112,715,163,93.12
3,6,1119,78,1161,121,96.54
3,7,855,84,898,122,98.92
3,8,889,57,921,101,103.96
3,9,820,59,855,101,104.73
3,10,687,74,734,114,103.26
3,11,735,53,782,90,108.47
3,12,1067,22,1112,62,125.51
3,13,984,45,1021,84,110.82
3,14,874,34,907,70,126.71
3,15,684,39,728,81,120.09
3,16,1187,49,1226,93,107.52
3,17,807,34,850,70,123.71
3,18,1197,82,1243,130,95.9
4,0,754,75,798,120,101.55
4,1,952,96,1000,136,94.46
4,2,1024,90,1078,134,95.27
4,3,937,29,969,70,120.09
4,4,804,106,853,149,91.41
4,5,660,111,714,163,93.64
4,6,855,84,899,121,98.88
4,7,1118,78,1161,120,96.82
4,8,888,57,921,101,104.07
4,9,820,58,854,100,104.9
4,10,687,74,734,113,103.46
4,11,1067,23,1112,62,125.0
4,12,735,53,782,90,107.32
4,13,874,35,908,71,126.15
4,14,1187,49,1226,93,107.22
4,15,684,39,728,81,121.1
4,16,809,33,851,69,122.59
4,17,983,44,1021,84,111.94
4,18,1191,82,1242,130,95.44
5,0,952,95,1000,137,94.22
5,1,754,74,798,120,101.63
5,2,1025,90,1078,134,94.76
5,3,804,106,852,150,91.14
5,4,937,28,969,70,122.25
5,5,659,112,715,163,93.54
5,6,1119,78,1161,121,96.65
5,7,855,84,899,122,98.49
5,8,888,58,921,101,103.55
5,9,688,74,734,114,103.19
5,10,820,58,855,100,105.09
5,11,1067,23,1112,62,125.31
5,12,735,52,783,90,108.55
5,13,873,34,907,70,127.12
5,14,806,34,850,70,123.85
5,15,684,39,728,81,120.91
5,16,1187,49,1227,92,107.61
5,17,982,44,1021,85,112.3
5,18,1187,85,1238,129,94.68
6,0,754,74,798,120,101.08
6,1,1024,90,1078,135,94.26
6,2,952,97,1000,136,94.28
6,3,804,106,852,150,91.6
6,4,937,29,970,70,121.14
6,5,659,112,714,163,93.58
6,6,855,83,898,122,98.98
6,7,1119,77,1161,121,96.68
6,8,888,58,921,102,103.6
6,9,688,74,734,114,103.44
6,10,820,58,855,100,105.07
6,11,1069,23,1112,62,125.2
6,12,735,53,782,90,107.34
6,13,873,34,908,71,125.0
6,14,684,39,728,81,119.99
6,15,1187,49,1226,93,107.77
6,16,982,45,1021,84,111.43
6,17,808,35,850,70,123.27
6,18,1191,82,1242,130,95.65
7,0,754,74,798,120,102.0
7,1,1025,91,1078,134,93.97
7,2,952,96,1000,137,93.93
7,3,805,106,853,150,91.39
7,4,937,28,969,70,120.83
7,5,659,113,715,163,94.07
7,6,855,84,899,122,98.76
7,7,1120,77,1161,120,97.2
7,8,888,58,920,101,103.36
7,9,688,74,734,114,103.28
7,10,821,58,855,101,104.86
7,11,1068,23,1112,62,125.09
7,12,735,52,782,90,107.92
7,13,684,40,728,82,117.15
7,14,874,34,907,70,125.26
7,15,1187,49,1226,93,108.19
7,16,982,46,1021,84,111.73
7,17,806,35,850,70,123.66
7,18,1192,82,1243,130,95.92
8,0,754,74,798,120,101.24
8,1,1025,90,1078,134,94.47
8,2,952,96,1000,136,94.26
8,3,805,106,853,150,91.24
8,4,937,27,970,70,120.13
8,5,659,112,714,163,94.01
8,6,855,84,898,122,98.49
8,7,1119,76,1161,120,97.07
8,8,888,58,920,102,103.23
8,9,688,73,734,114,103.46
8,10,820,58,854,100,105.48
8,11,736,52,782,90,107.72
8,12,874,34,908,70,124.16
8,13,1068,23,1112,62,125.33
8,14,807,34,851,70,123.39
8,15,684,38,727,80,121.04
8,16,981,45,1020,84,111.2
8,17,1187,48,1226,93,107.89
8,18,1189,83,1241,130,95.29
9,0,755,74,798,120,101.94
9,1,1024,91,1078,134,94.68
9,2,804,106,853,150,91.77
9,3,952,96,1000,137,94.3
9,4,937,28,969,70,120.37
9,5,659,111,714,163,93.79
9,6,1119,78,1161,121,96.43
9,7,855,84,898,122,98.57
9,8,888,57,921,102,103.83
9,9,688,73,735,114,103.3
9,10,820,57,854,100,104.88
9,11,736,53,782,90,107.2
9,12,981,44,1021,85,111.2
9,13,1067,23,1112,62,124.94
9,14,874,35,908,70,124.22
9,15,684,38,728,81,120.96
9,16,1186,48,1227,93,108.75
9,17,806,34,850,70,124.22
9,18,1188,83,1243,130,95.5
10,0,754,74,797,120,101.77
10,1,1024,90,1078,134,94.44
10,2,805,106,853,150,92.2
10,3,952,97,1000,136,94.09
10,4,937,28,969,71,120.9
10,5,659,110,715,163,93.66
10,6,855,84,898,122,98.41
10,7,1118,77,1161,120,96.88
10,8,888,58,921,102,103.51
10,9,688,73,736,113,103.68
10,10,820,57,855,99,105.05
10,11,1067,24,1113,62,125.46
10,12,983,44,1021,85,111.14
