frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,673,333,740,389,61.19
0,1,1186,304,1254,356,63.82
0,2,480,352,551,407,65.6
0,3,923,233,970,280,78.41
0,4,878,316,939,367,62.62
0,5,752,293,812,339,68.91
0,6,545,274,604,322,77.34
0,7,972,306,1042,368,62.26
0,8,715,250,758,305,76.79
0,9,803,253,844,300,75.28
0,10,872,207,910,254,87.27
0,11,622,279,684,334,72.48
0,12,557,223,609,267,89.39
0,13,1028,281,1107,336,66.91
0,14,788,226,841,264,82.26
0,15,611,243,671,289,80.78
0,16,1057,244,1125,290,75.59
0,17,634,220,683,262,87.17
0,18,1029,205,1087,242,89.55
0,19,725,213,774,254,88.78
1,0,1186,303,1254,357,63.66
1,1,674,332,741,389,62.06
1,2,479,352,551,407,65.24
1,3,923,233,970,279,78.75
1,4,878,316,939,367,62.47
1,5,972,306,1042,368,62.26
1,6,752,293,813,340,68.68
1,7,545,274,604,323,77.35
1,8,715,250,758,305,76.7
1,9,557,224,610,267,89.9
1,10,803,253,843,301,75.33
1,11,872,207,912,254,88.01
1,12,622,279,684,333,73.0
1,13,726,214,774,255,88.41
1,14,1028,280,1104,337,67.05
1,15,789,226,841,264,82.16
1,16,612,244,670,289,80.53
1,17,1058,244,1123,290,75.81
1,18,630,220,683,261,89.83
1,19,1027,205,1087,242,88.96
2,0,675,332,740,389,61.4
2,1,1186,304,1254,356,63.82
2,2,923,234,970,279,78.58
2,3,879,316,939,367,62.7
2,4,971,306,1042,367,62.38
2,5,751,292,813,340,68.59
2,6,545,274,604,323,77.15
2,7,479,353,551,407,65.29
2,8,715,250,758,305,76.84
2,9,802,253,844,300,75.54
2,10,556,223,609,267,91.67
2,11,872,208,910,254,87.93
2,12,622,279,684,333,72.88
2,13,1027,281,1105,337,66.81
2,14,788,226,842,264,83.04
2,15,611,244,671,289,80.57
2,16,727,213,773,254,89.66
2,17,1059,245,1124,290,75.82
2,18,633,221,683,261,90.49
2,19,1028,204,1087,242,89.63
3,0,674,333,741,389,60.97
3,1,1186,304,1254,356,63.64
3,2,479,352,550,407,65.39
3,3,923,234,970,279,78.58
3,4,878,316,939,367,62.57
3,5,972,307,1042,367,62.55
3,6,751,293,812,339,68.72
3,7,546,274,603,322,77.36
3,8,715,250,758,305,76.81
3,9,557,223,610,267,90.52
3,10,622,279,683,333,72.81
3,11,803,253,843,300,75.23
