frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1438,306,1546,382,45.75
0,1,1312,338,1406,415,40.86
0,2,1582,410,1699,499,36.71
0,3,1033,289,1145,361,42.7
0,4,1187,260,1270,323,49.24
0,5,691,399,829,495,31.01
0,6,743,347,851,420,36.03
0,7,913,302,983,372,39.67
0,8,785,263,846,328,45.79
0,9,473,309,566,374,43.49
0,10,647,289,732,356,44.1
0,11,1237,410,1366,497,31.17
0,12,460,412,592,503,32.17
0,13,975,357,1091,430,36.33
0,14,1016,211,1099,271,52.7
0,15,942,415,1091,499,29.03
0,16,1389,253,1459,309,53.88
0,17,1197,202,1258,258,59.63
0,18,649,239,730,295,55.86
0,19,853,216,914,264,60.14
1,0,1436,306,1545,382,46.18
1,1,1313,338,1407,415,40.86
1,2,1582,410,1697,499,36.71
1,3,743,347,851,420,35.93
1,4,1188,260,1270,323,49.81
1,5,1033,289,1145,360,42.7
1,6,691,398,826,495,31.17
1,7,913,302,983,372,39.41
1,8,783,262,845,328,47.12
1,9,648,289,731,356,44.35
1,10,473,308,567,374,43.48
1,11,460,412,591,502,32.15
1,12,1016,212,1101,271,52.58
1,13,1238,409,1363,496,31.51
1,14,976,357,1093,429,36.09
1,15,942,415,1092,500,29.25
1,16,1389,253,1459,309,53.98
1,17,648,237,729,295,55.38
1,18,1197,201,1258,258,60.1
1,19,852,215,916,264,59.28
2,0,1437,306,1545,382,45.82
2,1,1313,338,1407,414,39.54
2,2,1583,410,1697,500,36.77
2,3,1188,260,1271,323,49.16
2,4,1033,289,1143,360,42.71
2,5,691,399,826,495,31.09
2,6,743,347,851,419,36.17
2,7,913,303,983,372,39.75
2,8,647,289,731,356,44.59
2,9,783,262,845,328,47.0
2,10,474,308,567,374,42.86
2,11,1237,409,1364,496,31.22
2,12,1016,212,1099,271,52.52
2,13,460,412,591,504,32.06
2,14,976,357,1092,429,36.0
2,15,942,414,1094,500,29.18
2,16,1390,252,1459,308,54.35
2,17,648,237,730,295,56.54
2,18,1198,202,1258,257,59.36
2,19,854,217,915,262,58.69
3,0,1437,305,1545,382,46.24
3,1,1312,338,1407,414,39.69
3,2,1583,410,1699,499,36.73
3,3,1033,289,1144,360,43.08
3,4,742,348,852,420,35.56
3,5,1188,260,1271,323,48.56
3,6,690,398,827,496,31.2
3,7,913,303,983,372,39.49
3,8,784,262,845,328,46.59
3,9,647,289,732,356,44.07
3,10,459,412,591,503,32.01
3,11,1016,211,1100,270,52.19
3,12,470,308,568,374,43.0
3,13,975,357,1093,429,36.33
3,14,1236,409,1366,497,31.78
3,15,941,414,1093,499,29.27
3,16,1389,253,1459,309,53.51
3,17,648,238,730,294,55.9
3,18,1197,201,1258,257,59.6
3,19,852,215,915,264,58.65
4,0,1437,306,1544,381,46.06
4,1,1313,338,1407,414,39.89
4,2,1583,410,1699,500,36.91
4,3,1188,260,1270,323,49.24
4,4,1034,289,1145,360,42.59
4,5,691,399,827,495,31.02
4,6,743,348,851,419,35.57
4,7,913,302,983,372,40.23
4,8,784,262,845,328,47.4
4,9,648,289,731,356,43.99
4,10,459,412,591,503,32.0
4,11,474,308,566,374,42.88
4,12,1016,212,1100,271,52.26
4,13,976,357,1092,429,36.53
4,14,1238,410,1362,496,31.52
4,15,941,414,1093,499,29.16
4,16,1388,253,1459,308,54.23
4,17,648,237,730,295,55.9
4,18,1197,202,1258,258,59.43
4,19,854,216,914,262,59.85
5,0,1438,306,1544,382,46.31
5,1,1313,339,1406,415,40.08
5,2,1034,289,1142,360,42.33
5,3,1582,410,1697,500,36.8
5,4,1188,260,1270,323,49.18
5,5,743,348,852,419,35.82
5,6,913,302,983,372,39.34
5,7,691,398,826,495,31.18
5,8,783,263,845,328,46.48
5,9,648,289,730,356,44.5
5,10,473,308,566,375,42.82
5,11,1238,410,1366,496,31.73
5,12,460,412,593,503,32.08
5,13,975,358,1091,429,36.02
5,14,1016,211,1101,271,54.41
5,15,943,415,1090,499,28.91
5,16,1389,253,1459,308,53.93
5,17,649,238,729,295,55.75
5,18,1198,202,1258,258,62.07
5,19,853,216,915,264,59.78
6,0,1437,306,1544,383,45.9
6,1,1312,338,1407,415,40.07
6,2,1033,289,1144,360,42.49
6,3,692,398,825,496,31.08
6,4,1187,261,1270,323,48.91
6,5,743,347,851,419,35.84
6,6,1582,410,1700,500,36.62
6,7,913,303,982,372,38.89
6,8,784,263,845,328,45.9
6,9,647,289,731,356,44.13
6,10,461,413,592,502,31.76
6,11,1238,410,1370,497,31.89
6,12,472,308,569,375,43.1
6,13,976,358,1092,430,36.01
6,14,1015,211,1100,271,52.35
6,15,1389,253,1459,309,53.48
6,16,942,415,1093,500,29.19
6,17,649,238,730,295,56.18
6,18,1196,202,1258,258,61.34
6,19,854,216,915,264,59.17
7,0,1438,306,1545,383,46.05
7,1,1311,339,1407,415,40.11
7,2,1034,289,1144,360,42.58
7,3,692,398,827,495,30.96
7,4,1187,261,1270,323,48.43
7,5,743,347,851,420,35.93
7,6,1583,411,1700,500,36.73
7,7,913,303,982,372,38.91
7,8,784,263,845,328,46.48
7,9,647,289,731,357,44.35
7,10,473,309,567,375,43.53
7,11,1238,410,1366,497,31.82
7,12,459,412,594,505,31.84
7,13,976,358,1091,430,36.2
7,14,1016,213,1101,271,52.54
7,15,943,414,1091,500,29.18
7,16,1389,253,1458,309,53.36
7,17,649,238,729,295,56.5
7,18,1197,202,1258,258,59.16
7,19,852,215,915,264,59.81
8,0,1437,307,1546,383,46.09
8,1,1313,339,1406,415,39.48
8,2,1584,410,1696,500,36.85
8,3,1034,290,1142,361,43.06
8,4,1187,261,1270,323,48.88
8,5,692,398,828,497,31.03
8,6,913,304,983,372,39.0
8,7,743,347,852,420,36.05
8,8,647,290,731,356,44.29
8,9,784,262,845,329,46.29
8,10,977,357,1091,430,36.31
8,11,461,412,593,505,31.72
8,12,1238,410,1364,497,31.96
8,13,1015,211,1101,272,52.82
8,14,471,309,569,375,42.88
8,15,942,414,1093,500,29.33
8,16,649,238,729,295,56.37
8,17,1389,253,1459,310,53.73
8,18,1196,202,1258,257,60.14
8,19,852,216,916,264,59.45
9,0,1438,306,1546,383,46.09
9,1,1312,339,1406,415,40.07
9,2,1187,261,1270,323,48.94
9,3,1034,290,1142,361,42.81
9,4,1582,411,1697,500,37.47
9,5,692,398,826,496,31.07
9,6,913,304,983,373,38.81
9,7,648,289,731,357,43.95
9,8,785,264,845,328,45.62
9,9,742,348,852,421,35.32
9,10,1014,212,1099,272,53.26
9,11,461,413,594,506,32.05
9,12,976,358,1092,430,36.38
9,13,470,309,569,375,42.96
9,14,944,415,1090,500,29.29
9,15,1390,253,1457,310,53.84
9,16,1237,411,1367,497,31.62
9,17,648,238,729,296,55.32
9,18,1197,202,1258,258,60.77
9,19,853,217,916,262,59.52
10,0,1437,306,1546,384,46.02
10,1,1313,339,1407,416,39.59
10,2,1186,262,1270,324,48.71
10,3,1033,290,1144,362,42.2
10,5,692,397,830,498,31.16
10,6,741,348,852,422,35.86
10,7,912,304,983,372,38.99
10,8,784,263,845,329,46.26
10,9,647,290,733,357,43.69
10,10,976,358,1090,430,35.97
10,11,1014,212,1100,272,53.29
10,12,457,413,593,506,32.35
10,13,469,309,570,375,42.83
10,14,1238,411,1367,496,31.64
10,15,1389,253,1458,311,53.4
10,16,942,415,1090,500,29.19
10,17,1196,202,1259,258,61.06
10,18,648,239,730,296,55.62
10,19,854,216,916,265,59.85
11,0,1437,306,1544,384,46.19
11,1,1313,339,1407,416,40.73
11,2,1584,411,1694,500,37.68
11,3,1033,291,1141,362,42.07
11,4,1186,262,1270,324,49.36
11,5,692,398,828,496,31.07
11,6,913,304,983,373,38.83
11,7,739,350,852,422,35.59
11,8,782,263,845,330,46.01
11,9,647,290,734,358,43.77
11,10,458,413,593,506,32.09
11,11,977,358,1091,431,35.72
11,12,468,309,569,376,43.08
11,13,1388,254,1458,311,54.67
11,14,1239,411,1362,498,32.16
11,15,943,415,1091,500,29.1
11,16,1014,212,1102,273,52.78
