frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,545,274,604,320,76.06
0,1,1182,305,1256,360,63.55
0,2,479,351,552,407,63.27
0,3,677,332,737,388,60.58
0,4,921,234,970,280,77.52
0,5,878,316,940,368,61.56
0,6,716,252,759,305,75.3
0,7,621,279,683,333,72.33
0,8,802,252,841,301,75.43
0,9,555,226,607,264,87.5
0,10,970,310,1044,370,61.33
0,11,610,244,669,285,81.51
0,12,751,293,813,340,68.72
0,13,1035,282,1104,333,66.48
0,14,1066,245,1119,290,78.43
0,15,723,216,773,255,86.08
0,16,635,225,680,262,84.3
0,17,873,210,907,253,85.74
0,18,790,227,840,266,81.24
1,0,545,275,604,321,75.94
1,2,479,352,553,406,63.22
1,3,920,234,971,280,78.11
1,4,677,331,738,388,60.58
1,5,878,317,940,368,61.43
1,6,716,252,759,305,75.34
1,7,621,279,683,333,72.47
1,8,803,252,841,301,75.3
1,9,555,226,607,264,87.59
1,10,968,310,1045,371,61.28
1,11,612,244,670,286,81.18
1,12,1035,282,1103,332,66.45
1,13,751,293,814,340,68.68
1,14,1067,244,1118,291,79.56
1,15,723,216,773,255,86.04
1,16,874,210,907,253,85.78
1,17,632,225,680,261,84.65
1,18,790,227,841,266,81.37
1,19,1031,208,1084,240,90.31
2,0,479,352,552,407,63.22
2,1,544,274,603,320,76.04
2,2,1182,305,1257,361,63.51
2,3,921,234,971,280,77.75
2,4,677,332,737,388,60.57
2,5,877,316,940,367,61.96
2,6,716,252,759,305,75.33
2,7,555,225,607,264,87.67
2,8,620,279,683,332,72.54
2,9,802,252,841,301,75.92
2,10,969,311,1045,371,61.28
2,11,612,244,670,286,81.25
2,12,751,293,814,340,68.56
2,13,1035,282,1104,332,66.4
2,14,1067,245,1119,291,78.7
2,15,722,216,773,255,86.11
2,16,873,210,907,254,85.97
2,17,632,225,680,261,84.74
2,18,790,227,841,266,81.29
3,0,478,351,552,407,63.21
3,1,545,275,604,320,75.97
3,2,1180,305,1256,360,63.46
3,3,677,332,737,387,60.54
3,4,920,234,971,280,78.05
3,5,716,252,759,305,75.22
3,6,877,317,941,367,61.62
3,7,620,279,683,333,72.48
3,8,803,252,841,301,75.17
3,9,555,226,608,263,87.58
3,10,968,311,1046,370,61.35
3,11,611,244,670,285,81.17
3,12,751,293,814,339,68.69
3,13,1034,282,1104,332,66.45
3,14,1067,245,1118,290,80.28
3,15,722,216,773,254,86.15
3,16,873,209,907,253,86.07
3,17,790,227,841,266,81.41
3,18,631,225,680,261,84.59
4,0,479,351,553,406,63.21
4,1,544,275,603,320,76.03
4,2,678,332,737,387,60.51
4,3,1181,305,1257,362,63.44
4,4,921,233,971,280,78.23
4,5,716,252,759,305,75.22
4,6,878,316,940,368,62.01
4,7,555,226,607,264,87.39
4,8,620,279,682,333,72.43
4,9,803,252,841,301,74.96
4,10,968,311,1046,372,61.22
4,11,751,293,814,340,68.65
4,12,610,244,670,285,81.2
4,13,1034,283,1104,332,66.35
4,14,1067,244,1119,291,79.49
4,15,874,210,907,254,85.86
4,16,723,216,773,254,86.23
4,17,631,225,680,261,84.72
4,18,791,227,840,266,81.2
5,0,479,352,553,406,63.18
5,1,545,275,603,320,75.96
5,2,1181,306,1256,359,63.57
5,3,920,234,971,280,78.5
5,4,676,332,738,387,60.63
5,5,555,225,608,264,87.45
5,6,716,252,759,305,75.2
5,7,877,316,940,367,61.92
5,8,803,252,841,301,75.33
5,9,620,279,683,333,72.38
5,10,967,311,1045,371,61.24
5,11,1035,282,1103,332,66.46
5,12,611,244,670,285,81.16
5,13,751,293,814,340,68.62
5,14,1067,246,1118,291,76.32
5,15,632,225,680,261,84.45
5,16,722,216,773,255,86.17
5,17,873,210,907,254,85.9
5,18,790,227,840,266,81.35
6,0,479,350,553,407,63.2
6,1,544,275,603,320,75.99
6,2,1182,305,1257,360,63.48
6,3,677,332,737,387,60.59
6,4,921,233,971,280,77.9
6,5,716,252,759,305,75.11
6,6,878,316,940,367,61.91
6,7,555,225,608,263,87.16
6,8,621,279,683,332,72.41
6,9,803,252,841,301,74.91
6,10,968,311,1045,371,61.26
6,11,1035,282,1103,332,66.21
6,12,611,244,669,286,81.16
6,13,751,293,813,339,68.67
6,14,1067,245,1119,290,79.56
6,15,723,216,774,254,86.1
6,16,631,224,680,261,84.56
6,17,873,210,907,253,85.99
6,18,790,227,841,266,81.24
7,0,545,275,603,320,75.99
7,1,1181,304,1256,360,63.48
7,2,677,332,737,387,60.56
7,3,922,233,971,280,77.92
7,4,479,351,552,407,63.17
7,5,716,252,759,305,75.21
7,6,555,225,607,263,87.31
7,7,877,316,941,367,61.9
7,8,620,279,683,333,72.41
7,9,803,252,841,301,75.48
7,10,969,311,1045,371,61.28
7,11,611,244,669,285,81.14
7,12,1035,282,1103,332,66.26
7,13,751,293,814,340,68.58
7,14,1067,245,1118,291,76.87
7,15,633,224,679,261,84.39
7,16,722,216,774,254,86.23
7,17,873,209,907,253,85.96
7,18,790,227,841,266,81.24
8,0,544,275,603,320,75.99
8,2,677,332,737,387,60.65
8,3,921,234,970,280,77.7
8,4,716,252,759,305,75.25
8,5,479,351,553,407,63.19
8,6,877,316,941,367,61.71
8,7,555,226,607,263,87.5
8,8,620,279,683,333,72.38
8,9,803,252,840,301,75.75
8,10,611,244,670,286,81.14
8,11,968,312,1045,371,61.25
8,12,1035,282,1103,332,66.22
8,13,1066,245,1118,291,78.33
8,14,751,293,815,340,68.58
8,15,632,225,680,261,84.75
8,16,722,216,773,255,86.27
8,17,873,210,908,254,85.89
8,18,790,227,840,266,81.22
8,19,1033,207,1084,240,89.3
9,0,545,274,603,320,76.05
9,1,1181,304,1256,361,63.45
9,2,677,331,737,387,60.64
9,3,921,233,971,280,77.74
9,4,479,351,553,406,63.24
9,5,716,252,759,305,75.22
9,6,877,316,940,368,61.62
9,7,803,252,841,301,74.81
9,8,620,279,683,333,72.47
9,9,554,226,607,263,87.66
9,10,969,311,1045,370,61.33
9,11,751,293,814,339,68.68
9,12,611,244,670,285,81.1
9,13,1035,282,1103,332,66.44
9,14,1067,244,1119,291,75.97
9,15,722,216,773,254,86.27
9,16,874,210,907,253,86.08
9,17,791,226,840,266,81.24
9,18,631,225,679,261,84.49
10,0,479,351,552,407,63.17
10,1,544,275,603,320,76.01
10,2,1181,305,1256,361,63.47
10,3,678,332,737,387,60.59
10,4,921,234,970,279,77.51
10,5,716,252,759,306,75.22
10,6,877,316,940,367,61.69
10,7,620,279,683,332,72.45
10,8,555,226,607,263,87.27
10,9,803,252,841,301,74.98
10,10,968,311,1045,372,61.24
10,11,610,244,670,285,81.16
10,12,1035,282,1103,332,66.37
10,13,1066,244,1119,291,76.69
10,14,751,293,814,340,68.6
10,15,635,225,680,261,84.65
10,16,723,216,773,254,86.25
10,17,873,209,908,253,85.85
10,18,790,226,841,266,81.34
11,0,479,350,554,406,63.24
11,1,544,274,603,320,76.03
11,2,1181,306,1258,361,63.45
11,3,677,332,737,387,60.6
11,4,921,234,971,280,77.63
11,5,555,225,607,263,87.51
11,6,716,252,759,306,75.28
11,7,878,317,940,367,61.65
11,8,803,252,841,301,75.17
11,9,620,279,683,333,72.44
11,10,968,311,1046,372,61.27
11,11,610,244,670,285,81.06
11,12,1035,282,1103,332,66.33
11,13,751,293,814,340,68.59
11,14,1067,245,1119,291,76.08
11,15,634,225,680,261,84.69
11,16,722,216,773,255,86.08
11,17,874,210,907,253,85.81
11,18,789,227,840,265,81.28
12,0,545,275,603,321,75.92
12,1,479,351,554,406,63.24
12,2,1181,305,1257,360,63.53
12,3,677,332,737,388,60.62
12,4,921,233,971,280,77.65
12,5,717,252,759,305,75.15
12,6,877,316,941,368,61.65
12,7,555,226,608,263,87.26
12,8,803,252,840,301,75.1
12,9,620,279,683,332,72.38
12,10,612,244,669,286,81.09
12,11,968,311,1045,371,61.28
12,12,1035,282,1104,332,66.49
12,13,1066,244,1119,290,76.35
12,14,751,293,814,340,68.71
12,15,634,225,680,261,84.71
12,16,722,216,773,255,85.97
12,17,874,210,907,253,85.79
12,18,791,226,840,266,81.28
13,0,545,274,603,320,76.01
13,1,479,351,552,407,63.21
13,2,677,332,737,387,60.64
13,3,1181,305,1257,362,63.44
13,4,922,233,971,280,77.61
13,5,717,252,758,305,75.31
13,6,555,226,607,263,87.55
13,7,877,316,940,368,61.66
13,8,620,279,683,332,72.42
13,9,803,252,840,301,75.37
13,10,611,244,670,285,81.1
13,11,968,311,1045,371,61.31
13,12,751,293,814,340,68.66
13,13,1035,282,1104,333,66.26
13,14,1067,246,1118,291,79.15
13,15,633,225,680,261,84.69
13,16,723,216,773,254,86.04
13,17,873,210,907,253,85.82
13,18,790,227,840,265,81.16
14,0,480,351,552,407,63.2
14,1,544,274,602,320,76.05
14,3,677,332,737,387,60.64
14,4,921,233,971,280,77.63
14,5,716,252,759,305,75.27
14,6,556,225,608,263,87.34
14,7,803,252,841,301,75.16
14,8,620,279,683,332,72.41
14,9,877,316,940,368,61.58
14,10,611,244,670,286,81.32
14,11,1035,282,1103,332,66.17
14,12,967,311,1045,371,61.43
14,13,1066,245,1118,290,79.35
14,14,751,293,815,340,68.6
14,15,633,224,680,261,84.43
14,16,873,210,907,253,86.29
14,17,722,217,774,254,86.18
14,18,790,227,841,265,81.32
14,19,1032,203,1083,238,90.64
15,0,479,352,552,407,63.18
15,1,545,275,603,320,75.99
15,3,677,332,737,387,60.67
15,4,920,234,971,280,77.71
15,5,556,225,608,263,87.41
15,6,716,252,759,305,75.1
15,7,877,316,940,367,61.67
15,8,803,252,841,301,75.36
15,9,621,279,683,332,72.37
15,10,611,244,669,286,81.16
15,11,1035,282,1104,332,66.21
15,12,751,293,814,340,68.65
15,13,967,311,1046,372,61.33
15,14,1067,245,1118,291,79.78
15,15,723,215,773,254,86.17
15,16,634,225,680,261,84.49
15,17,873,210,907,253,85.83
15,18,790,227,841,266,81.35
15,19,1032,206,1084,240,89.62
16,0,480,352,553,407,63.19
16,1,545,275,603,320,75.97
16,3,676,331,737,387,60.67
16,4,554,225,608,263,87.33
16,5,921,234,971,280,77.45
16,6,717,252,759,305,75.14
16,7,877,317,940,367,61.59
16,8,620,279,683,332,72.46
16,9,802,252,840,301,75.11
16,10,968,312,1045,371,61.34
16,11,751,293,814,339,68.78
16,12,1034,282,1103,332,66.44
16,13,610,244,670,285,81.15
16,14,1066,245,1118,290,76.89
16,15,723,216,773,255,86.08
16,16,633,225,680,261,84.54
16,17,874,210,907,253,85.73
16,18,790,227,841,266,81.22
16,19,1032,206,1084,240,88.53
17,0,545,274,604,320,76.01
17,2,480,350,553,406,63.26
17,3,921,234,971,280,77.52
17,4,676,332,737,387,60.67
17,5,717,252,758,305,75.18
17,6,878,317,940,367,61.68
17,7,621,279,682,332,72.39
17,8,803,252,840,301,75.07
17,9,555,226,607,263,87.37
17,10,969,311,1045,370,61.38
17,11,751,293,814,340,68.62
17,12,1035,282,1102,332,66.39
17,13,611,244,670,285,81.19
17,14,1066,245,1118,291,77.21
17,15,723,216,773,254,86.17
17,16,873,210,907,253,85.99
17,17,631,225,679,262,84.34
17,18,790,227,841,266,81.19
17,19,1032,201,1083,239,94.16
18,0,544,274,603,320,76.12
18,1,479,350,553,406,63.29
18,2,678,332,738,387,60.64
18,4,921,234,971,280,77.48
18,5,555,226,608,263,87.35
18,6,716,252,759,305,75.19
18,7,877,317,940,367,61.61
18,8,803,252,841,301,75.09
18,9,620,278,683,333,72.47
18,10,611,244,670,286,81.16
18,11,968,311,1045,371,61.48
18,12,1035,282,1104,332,66.24
18,13,751,293,814,339,68.68
18,14,1066,244,1119,290,76.69
18,15,634,224,680,261,84.53
18,16,722,217,773,254,86.2
18,17,874,210,907,253,85.78
18,18,790,227,841,265,81.26
18,19,1032,201,1083,238,94.08
19,0,480,351,553,407,63.22
19,1,545,274,603,320,76.05
19,3,677,331,737,387,60.67
19,4,920,234,971,280,77.88
19,5,716,252,759,305,75.19
19,6,877,316,939,366,61.7
19,7,803,252,841,301,75.42
19,8,621,279,682,332,72.45
19,9,555,226,607,263,87.47
19,10,968,310,1044,370,61.53
19,11,1034,282,1103,332,66.41
19,12,613,244,670,285,81.08
19,13,751,293,814,340,68.62
19,14,1067,245,1118,291,79.3
19,15,722,216,773,254,86.1
19,16,874,209,907,253,85.98
19,17,632,224,680,261,84.45
19,18,790,226,841,265,81.39
19,19,1032,204,1083,241,89.74
20,0,545,274,603,320,76.02
20,1,678,332,737,387,60.61
20,3,920,234,971,280,77.85
20,4,716,252,759,305,75.27
20,5,877,317,940,367,61.69
20,6,480,352,554,407,63.18
20,7,555,226,607,263,87.23
20,8,620,279,683,333,72.44
20,9,803,252,841,301,75.27
20,10,968,311,1046,372,61.47
20,11,611,244,669,286,81.0
20,12,751,293,814,340,68.67
20,13,1035,283,1103,332,66.1
20,14,1067,246,1118,291,79.6
20,15,633,224,680,261,84.49
20,16,722,216,774,254,86.21
20,17,873,210,907,253,85.99
20,18,790,227,840,266,81.17
20,19,1031,204,1085,243,89.33
21,0,545,274,603,320,76.11
21,1,479,351,554,407,63.24
21,3,677,332,737,387,60.63
21,4,920,235,971,280,77.48
21,5,877,317,940,367,61.63
21,6,716,252,759,305,75.21
21,7,621,279,683,333,72.45
21,8,803,252,840,301,75.31
21,9,555,226,607,263,87.36
21,10,968,311,1045,371,61.43
21,11,611,244,669,286,81.11
21,12,1035,282,1104,332,66.25
21,13,751,294,814,340,68.6
21,14,1067,245,1119,291,79.05
21,15,633,225,680,261,84.46
21,16,723,216,774,255,86.03
21,17,873,210,908,253,85.8
21,18,790,227,840,266,81.2
21,19,1031,205,1086,242,89.13
22,0,545,274,604,320,76.04
22,1,479,351,552,407,63.24
22,2,1181,305,1256,360,63.49
22,3,677,332,738,387,60.59
22,4,921,235,971,280,77.34
22,5,716,252,758,305,75.18
22,6,555,226,607,263,87.47
22,7,620,279,682,332,72.43
22,8,877,317,940,366,61.63
22,9,803,253,841,301,75.03
22,10,612,244,670,285,81.15
22,11,967,311,1045,371,61.4
22,12,1035,282,1104,332,66.26
22,13,751,294,814,339,68.6
22,14,1066,244,1119,291,79.52
22,15,633,224,680,261,84.54
22,16,723,215,774,254,86.16
22,17,873,208,907,253,85.74
22,18,791,228,842,266,81.25
23,0,545,275,604,320,75.99
23,2,677,332,737,386,60.6
23,3,921,235,971,280,77.48
23,4,716,252,759,305,75.15
23,5,877,317,940,367,61.74
23,6,620,279,683,332,72.43
23,7,479,352,554,406,63.18
23,8,802,252,841,301,75.34
23,9,555,225,607,263,87.62
23,10,969,311,1045,371,61.38
23,11,1035,282,1104,332,66.35
23,12,612,244,670,285,81.01
23,13,751,293,814,340,68.63
23,14,1066,244,1120,291,79.29
23,15,873,210,907,253,85.76
23,16,722,216,773,254,86.13
23,17,632,225,680,261,84.72
23,18,790,227,841,266,81.32
23,19,1031,203,1083,238,92.84
24,0,545,275,604,320,75.98
24,1,479,351,554,407,63.24
24,2,1181,305,1256,360,63.48
24,3,921,234,971,280,77.62
24,4,677,331,737,387,60.59
24,5,555,225,607,263,87.36
24,6,716,252,758,305,75.12
24,7,877,316,940,367,61.69
24,8,620,279,683,332,72.35
24,9,803,252,840,301,74.98
24,10,612,244,669,285,81.04
24,11,1036,282,1103,332,66.27
24,12,969,311,1045,371,61.35
24,13,751,294,813,340,68.59
24,14,1067,244,1119,291,79.35
24,15,633,224,680,261,84.79
24,16,873,210,908,253,85.72
24,17,723,216,773,255,86.11
24,18,790,227,840,266,81.17
25,0,479,350,551,407,63.24
25,1,545,275,602,319,76.13
25,2,1181,303,1258,361,63.54
25,3,677,332,737,387,60.57
25,4,922,234,971,280,77.4
25,5,716,252,759,306,75.13
25,6,878,317,940,367,61.72
25,7,621,279,682,332,72.31
25,8,803,252,841,301,75.24
25,9,556,225,607,263,87.38
25,10,969,310,1045,371,61.28
25,11,612,244,670,285,81.18
25,12,1035,282,1104,332,66.38
25,13,751,293,813,340,68.61
25,14,1067,244,1119,290,79.58
25,15,632,224,680,260,84.53
25,16,873,209,907,254,85.81
25,17,790,227,841,266,81.19
25,18,721,216,773,254,86.62
26,0,481,350,553,406,63.22
26,1,545,275,602,320,76.01
26,2,678,331,737,387,60.63
26,3,1181,305,1257,361,63.45
26,4,921,234,971,280,78.06
26,5,878,317,940,366,61.73
26,6,716,252,759,305,75.23
26,7,555,225,607,263,87.66
26,8,621,279,683,332,72.35
26,9,803,252,841,301,75.53
26,10,612,244,670,285,81.17
26,11,751,293,814,339,68.62
