frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,274,816,417,917,25.82
0,1,577,576,676,661,33.24
0,2,1090,573,1194,648,31.49
0,3,1265,503,1347,579,36.88
0,4,440,550,548,625,37.47
0,5,1057,716,1183,805,23.47
0,6,669,771,792,877,21.38
0,7,1345,619,1456,705,30.76
0,8,813,616,919,691,29.19
0,9,986,533,1050,603,33.51
0,10,748,501,812,585,36.02
0,11,743,393,830,455,46.71
0,12,597,406,683,470,47.21
0,13,561,468,668,533,41.87
0,14,865,424,951,486,42.84
0,15,1095,466,1179,532,38.93
0,16,472,406,574,473,49.91
0,17,1251,372,1347,435,49.96
0,19,1110,363,1195,420,50.17
1,0,273,815,417,917,25.9
1,1,578,576,676,660,33.24
1,2,1265,502,1347,578,36.85
1,3,669,771,792,876,21.34
1,4,1089,573,1194,648,31.44
1,5,1057,716,1183,805,23.44
1,6,813,616,920,692,29.16
1,7,438,550,548,624,37.5
1,8,1344,619,1456,705,30.75
1,9,986,533,1050,603,33.44
1,10,748,500,812,585,36.01
1,11,597,406,683,471,47.23
1,12,742,393,831,454,46.85
1,13,562,468,668,534,41.85
1,14,864,424,952,486,42.82
1,15,1093,466,1181,532,38.89
1,16,469,407,574,473,49.89
1,17,1249,372,1347,435,49.98
1,19,1106,363,1196,420,50.2
2,0,273,815,418,917,25.92
2,1,578,575,676,660,33.2
2,2,1088,573,1194,648,31.51
2,3,1265,503,1347,578,36.86
2,4,669,771,793,877,21.33
2,5,1057,716,1183,805,23.45
2,6,438,550,547,624,37.47
2,7,1345,618,1457,706,30.79
2,8,814,616,920,691,29.17
2,9,986,533,1050,603,33.54
2,10,747,500,812,585,36.09
2,11,560,468,668,533,41.91
2,12,865,423,951,485,42.78
2,13,597,406,683,470,47.33
2,14,743,393,831,455,46.83
2,15,1091,466,1182,532,38.94
2,16,469,406,575,472,49.89
2,18,1245,372,1353,438,49.96
2,19,1112,364,1197,420,50.14
3,0,272,815,418,916,25.98
3,1,578,576,676,661,33.18
3,2,1265,502,1347,578,36.89
3,3,439,549,548,624,37.53
3,4,669,770,793,876,21.33
3,5,1089,573,1194,648,31.48
3,6,815,616,920,691,29.14
3,7,1056,717,1183,805,23.44
3,8,1344,618,1456,706,30.77
3,9,986,533,1051,603,33.45
3,10,748,500,811,585,36.04
3,11,598,406,683,470,47.27
