frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,951,97,1001,138,93.28
0,1,659,116,714,161,91.43
0,2,938,28,969,69,118.36
0,3,806,107,851,149,90.92
0,4,983,42,1021,85,107.64
0,5,755,76,795,118,102.35
0,6,1026,92,1078,136,92.41
0,7,824,58,852,101,104.6
0,8,1066,23,1113,64,131.48
0,9,856,84,900,122,99.69
0,10,738,52,781,89,108.13
0,11,888,57,918,99,105.12
0,12,690,41,726,78,128.17
0,13,692,74,729,113,104.45
0,14,1187,58,1221,95,104.12
0,15,876,40,907,73,129.28
0,16,1118,81,1162,121,97.63
0,17,806,37,846,71,120.66
1,0,951,97,1000,138,93.19
1,1,938,28,969,70,127.13
1,2,806,107,851,149,90.83
1,3,659,116,715,161,91.44
1,4,1026,92,1078,136,95.25
1,5,984,43,1021,85,107.77
1,6,823,58,852,101,104.81
1,7,754,76,795,119,102.04
1,8,856,84,899,122,99.48
1,9,1065,23,1114,64,130.95
1,10,888,58,918,99,104.74
1,11,692,73,729,114,104.37
1,12,738,52,782,89,108.32
1,13,690,41,725,79,126.33
1,14,1187,57,1222,94,104.88
1,15,875,40,906,74,129.57
1,16,1119,81,1162,120,97.59
1,17,805,36,846,71,127.46
1,18,1186,89,1235,129,94.95
2,0,951,97,1000,138,92.89
2,1,659,114,714,161,91.37
2,2,938,28,970,70,128.81
2,3,805,107,851,149,90.95
2,4,983,43,1021,86,107.81
2,5,1026,91,1079,136,95.44
2,6,754,76,795,118,102.17
2,7,823,58,853,101,104.7
2,8,856,84,900,122,99.47
2,9,1066,23,1113,63,131.58
2,10,888,57,918,99,104.79
2,11,692,73,732,115,104.38
2,12,738,52,782,89,108.33
2,13,691,41,726,79,115.53
2,14,1187,58,1222,94,104.83
2,15,876,40,907,73,129.93
2,16,1119,81,1162,120,97.66
2,17,750,39,784,72,129.34
2,18,807,36,847,71,128.71
3,0,951,97,1000,138,92.92
3,1,938,29,969,70,129.07
3,2,659,115,714,161,91.28
3,3,806,107,851,149,91.25
3,4,1026,91,1078,136,96.97
3,5,984,43,1021,85,107.33
3,6,754,76,795,119,102.15
3,7,1066,23,1114,64,131.58
3,8,823,59,853,100,104.34
3,9,855,85,899,122,99.54
