frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,495,483,563,535,65.75
0,1,993,594,1071,648,48.76
0,3,1108,667,1190,729,42.69
0,4,870,478,940,528,62.07
0,5,776,450,847,497,67.1
0,6,1246,624,1320,694,48.22
0,7,602,452,667,505,67.98
0,8,989,659,1076,721,42.28
0,9,1326,558,1391,618,58.0
0,10,1145,457,1210,507,67.76
0,11,1031,515,1085,564,57.82
0,12,964,458,1007,510,65.48
0,13,667,532,743,588,56.52
0,14,1015,470,1072,517,64.12
0,15,790,522,845,585,55.3
0,16,684,456,748,506,65.88
0,17,665,499,742,542,60.97
0,18,745,675,840,743,40.69
0,19,516,690,608,761,43.03
1,0,495,484,563,535,65.69
1,1,993,594,1072,648,48.77
1,3,1110,667,1189,729,42.67
1,4,870,479,940,529,62.01
1,5,601,453,667,505,68.09
1,6,989,658,1076,723,42.27
1,7,1246,624,1319,694,48.27
1,8,776,450,846,498,67.08
1,9,1146,457,1209,507,67.7
1,10,1325,559,1390,618,57.91
1,11,964,458,1007,510,65.5
1,12,1030,515,1085,565,57.75
1,13,667,532,743,587,56.51
1,14,1014,470,1072,518,64.06
1,15,791,521,846,585,55.33
1,16,666,498,742,542,61.28
1,17,684,457,748,505,65.97
1,18,743,675,842,743,40.63
1,19,516,689,607,762,43.05
2,0,494,484,563,535,65.71
2,2,992,594,1072,648,49.01
2,3,1109,667,1189,728,42.65
2,4,870,479,940,529,61.9
2,5,1246,624,1319,693,48.35
2,6,776,449,846,498,67.11
2,7,602,452,666,505,68.07
2,8,989,658,1078,723,42.3
2,9,1325,559,1391,617,57.92
2,10,1145,457,1209,507,67.84
2,11,1030,515,1086,564,57.77
2,12,964,458,1007,511,65.29
2,13,668,532,743,588,56.55
2,14,1014,470,1072,518,64.06
2,15,792,522,845,584,55.31
2,16,665,498,742,542,61.73
2,17,686,456,748,506,65.88
2,18,746,675,840,743,40.56
2,19,517,690,608,768,42.95
3,0,493,484,564,535,65.77
3,1,994,594,1071,648,48.67
3,3,1109,667,1189,729,42.68
3,4,601,452,667,504,68.11
3,5,989,659,1075,722,42.25
3,6,870,478,940,528,61.99
3,7,1245,624,1320,693,48.33
3,8,1325,560,1391,617,57.94
3,9,776,449,846,498,67.06
3,10,1146,457,1209,508,67.75
3,11,1030,516,1085,564,57.75
3,12,964,458,1008,510,65.45
3,13,668,532,743,588,56.57
3,14,1015,470,1072,517,64.02
3,15,791,522,845,584,55.3
3,16,666,498,742,542,61.23
