frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,712,148,766,191,82.02
0,1,929,144,992,191,80.9
0,2,1213,146,1256,191,81.82
0,3,1058,150,1103,191,81.81
0,4,814,147,867,188,81.76
0,5,1056,110,1100,148,98.38
0,6,973,119,1018,161,91.9
0,7,910,125,944,161,89.74
0,8,1169,118,1223,166,93.21
0,9,841,125,883,168,84.2
0,10,692,123,739,159,92.84
1,0,712,148,767,191,81.93
1,1,929,143,994,191,80.8
1,2,1058,149,1103,191,81.61
1,3,1213,146,1257,191,82.0
1,4,814,147,868,188,81.76
1,5,1056,111,1101,148,98.43
1,6,910,124,945,161,89.78
1,7,973,119,1020,160,92.25
1,8,1168,117,1223,166,92.95
1,9,842,124,883,167,83.99
1,10,691,125,739,161,93.14
2,0,712,148,767,191,81.79
2,1,929,144,991,192,80.84
2,2,1057,150,1103,191,81.67
2,3,1214,146,1257,191,81.93
2,4,814,147,867,187,81.77
2,5,1056,111,1101,148,98.41
2,6,974,120,1021,161,91.87
2,7,910,123,943,160,90.51
2,8,842,123,883,168,83.74
2,9,1168,118,1223,165,93.22
3,0,712,148,766,191,81.88
3,1,929,143,994,191,80.99
3,2,1059,149,1104,191,82.1
3,3,1213,146,1256,191,81.93
3,4,814,147,868,188,81.75
3,5,1056,110,1100,148,98.85
3,6,910,124,944,161,89.79
3,7,972,119,1019,160,92.09
3,8,1168,118,1223,165,93.48
3,9,841,125,883,168,83.69
3,10,691,124,738,160,93.07
4,0,712,148,767,191,81.92
4,1,929,143,995,191,80.98
4,2,1058,149,1103,191,81.49
4,3,1213,146,1257,191,82.21
4,4,814,147,867,187,81.74
4,5,1056,110,1101,147,98.65
4,6,910,124,944,161,90.21
4,7,1169,118,1223,166,93.7
4,8,972,119,1018,160,92.21
4,9,841,125,883,168,83.88
4,10,692,123,740,159,93.07
5,0,712,148,766,191,81.86
5,1,930,143,993,191,80.86
5,2,1059,149,1104,191,81.56
5,3,814,147,867,187,81.8
5,4,1213,146,1257,191,82.12
5,5,1056,110,1101,147,98.61
5,6,973,119,1020,161,92.07
5,7,1168,117,1223,165,93.02
5,8,841,124,883,168,83.88
5,9,910,124,942,161,90.2
5,10,692,124,739,160,93.04
6,0,712,148,766,191,81.95
6,1,929,144,993,191,80.97
6,2,1058,149,1104,191,81.47
6,3,1213,146,1257,191,82.09
6,4,814,147,868,188,81.65
6,5,1056,110,1101,148,98.36
6,6,972,119,1019,161,92.21
6,7,910,125,942,161,90.03
6,8,1168,118,1223,166,93.13
6,9,841,125,883,168,83.72
7,0,712,148,767,191,81.83
7,1,930,143,992,191,80.94
7,2,1058,149,1104,191,81.32
7,3,1214,146,1256,191,82.01
7,4,814,147,867,188,81.62
7,5,1056,111,1101,148,98.2
7,6,973,119,1019,162,92.33
7,7,910,124,942,161,89.91
7,8,1168,118,1223,165,93.09
7,9,842,124,883,168,84.04
7,10,692,123,739,160,93.12
7,11,775,119,817,156,92.69
8,0,712,148,767,191,81.98
8,1,929,144,992,191,81.06
8,2,1058,149,1103,191,81.16
8,3,814,147,868,188,81.7
8,4,1213,145,1256,191,82.06
8,5,1056,110,1102,148,98.42
8,6,1168,118,1223,165,93.16
8,7,910,124,944,161,90.2
8,8,972,119,1017,161,91.9
8,9,842,124,883,168,84.11
9,0,712,148,767,191,81.96
9,1,929,143,992,191,80.91
9,2,1058,150,1103,191,81.77
9,3,1213,146,1257,191,82.15
9,4,814,147,867,188,81.69
9,5,1056,110,1101,148,98.38
9,6,972,119,1019,161,92.14
9,7,910,125,942,161,89.82
9,8,1169,118,1223,166,92.12
9,9,841,124,883,168,84.01
9,10,692,123,740,159,92.9
10,0,712,148,767,191,81.9
10,1,929,144,992,191,80.85
