frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1127,169,1190,212,77.77
0,1,1139,226,1199,277,60.95
0,2,1340,227,1399,280,63.04
0,3,974,227,1052,279,60.19
0,4,1197,199,1255,249,68.52
0,5,828,224,899,275,60.79
0,6,700,228,770,277,61.46
0,7,866,203,915,250,64.78
0,8,680,188,738,233,72.87
0,9,1027,181,1090,228,72.47
0,10,1286,188,1346,239,72.84
0,11,953,189,995,235,69.68
0,12,784,182,836,223,73.05
0,13,870,169,911,210,96.55
0,14,1019,144,1077,190,82.86
0,15,1021,206,1068,248,71.82
1,0,1139,226,1199,277,61.07
1,1,1340,227,1399,280,63.18
1,2,1128,169,1190,212,77.58
1,3,975,227,1052,279,60.17
1,4,700,228,770,277,61.56
1,5,680,188,738,233,72.6
1,6,828,224,900,275,60.8
1,7,866,203,915,250,64.99
1,8,1197,199,1255,249,68.5
1,9,952,189,995,236,69.62
1,10,1027,181,1090,227,72.64
1,11,787,182,836,223,72.97
1,12,1286,187,1346,239,72.72
1,13,870,169,911,210,78.87
1,14,1018,144,1077,189,82.98
2,0,1140,226,1199,277,61.15
2,1,1128,169,1189,212,77.65
2,2,1340,227,1399,280,63.14
2,3,975,227,1051,279,60.22
2,4,953,189,995,237,69.34
2,5,699,228,771,276,61.54
2,6,681,188,738,233,72.88
2,7,828,225,900,275,60.83
2,8,1197,200,1255,249,68.53
2,9,865,203,915,251,64.87
2,10,1028,181,1090,228,72.34
2,11,787,182,836,223,72.99
2,12,1287,188,1346,239,72.65
2,13,870,170,911,210,77.37
2,14,1019,144,1077,190,82.88
2,15,1021,206,1069,247,71.89
3,0,1128,170,1190,212,77.54
3,1,1141,226,1199,277,61.15
3,2,1340,227,1399,279,63.05
3,3,974,227,1053,280,60.19
3,4,1198,199,1255,248,68.63
3,5,699,228,771,277,61.44
3,6,953,189,994,236,69.54
3,7,680,188,738,233,72.84
3,8,864,203,915,251,64.9
3,9,1027,181,1090,227,72.33
3,10,828,224,899,275,60.85
3,11,1287,187,1346,239,72.7
3,12,869,169,911,211,95.93
3,13,789,182,836,223,73.14
3,14,1018,144,1078,190,82.91
4,0,1127,169,1190,212,77.69
4,1,1139,226,1199,278,61.12
4,2,1340,227,1399,280,63.2
4,3,974,227,1050,280,60.18
4,4,953,189,995,237,69.32
4,5,680,188,738,233,73.04
4,6,699,228,771,277,61.5
4,7,828,224,900,275,60.89
4,8,864,203,915,251,64.81
4,9,1197,199,1255,249,68.6
4,10,1027,181,1090,228,72.17
4,11,869,169,911,211,92.36
4,12,1286,188,1346,239,72.7
4,13,786,182,836,223,73.34
4,14,1019,144,1078,190,82.78
4,15,1019,207,1066,250,71.73
5,0,1127,169,1190,212,77.45
5,1,1340,227,1398,280,63.01
5,2,1140,226,1199,277,61.44
5,3,974,227,1052,280,60.14
5,4,953,189,994,237,69.4
5,5,1197,199,1255,249,68.54
5,6,699,228,770,277,61.46
5,7,1027,181,1090,227,72.49
5,8,865,203,915,251,65.11
5,9,828,224,900,275,60.87
5,10,680,188,738,233,72.77
5,11,1287,187,1346,239,72.89
5,12,869,169,911,210,93.03
5,13,785,182,836,223,73.07
5,14,1018,143,1078,189,82.9
5,15,1144,143,1195,180,88.79
6,0,1142,226,1199,277,61.11
