frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,461,434,562,507,45.2
0,1,987,388,1073,461,43.69
0,2,1404,385,1504,462,47.7
0,3,658,318,729,384,53.77
0,4,720,415,808,488,42.32
0,5,971,212,1014,269,67.21
0,6,559,303,634,365,57.83
0,7,579,224,642,275,69.86
0,8,776,276,827,346,56.84
0,9,645,260,715,315,62.32
0,10,667,223,729,277,67.43
0,11,1040,252,1098,319,59.14
0,12,786,216,845,265,67.65
0,13,1114,392,1215,464,43.66
0,14,1197,343,1277,407,49.11
0,15,821,344,904,405,50.13
0,16,1227,278,1292,339,57.21
0,17,888,280,937,346,56.2
0,18,868,235,933,288,63.67
0,19,1172,204,1241,261,68.25
1,0,461,433,563,506,45.35
1,1,987,389,1073,461,43.65
1,2,1404,385,1504,462,47.72
1,3,658,319,729,384,53.81
1,4,719,415,811,488,42.31
1,5,559,303,633,366,57.84
1,6,579,224,643,275,69.95
1,7,971,212,1014,268,67.34
1,8,776,275,827,346,56.81
1,9,1040,252,1098,319,59.02
1,10,669,224,729,278,67.45
1,11,645,260,714,314,62.26
1,12,1196,343,1278,407,49.21
1,13,1115,393,1215,464,43.66
1,14,786,216,845,265,67.72
1,15,821,344,904,405,50.1
1,16,1227,279,1292,340,57.15
1,17,888,280,937,345,56.18
1,18,867,234,933,288,63.63
1,19,1171,205,1241,261,68.37
2,0,460,434,562,507,45.36
2,1,988,389,1073,460,43.66
2,2,1404,386,1504,463,47.75
2,3,971,212,1014,269,67.32
2,4,658,320,729,384,53.85
2,5,559,304,634,366,57.77
2,6,578,224,642,276,70.02
2,7,718,415,812,489,42.33
2,8,777,276,827,345,56.86
2,9,786,216,844,265,67.51
2,10,1040,252,1098,319,58.88
2,11,645,260,715,315,62.37
2,12,823,344,904,405,50.1
2,13,668,224,729,278,67.36
2,14,1115,393,1214,464,43.74
2,15,1195,343,1278,407,49.18
2,16,1227,279,1292,340,57.2
2,17,888,280,937,345,56.24
2,18,867,236,933,288,63.54
2,19,1171,205,1240,261,68.35
3,0,461,434,561,507,45.35
3,1,989,390,1073,460,43.65
3,2,657,319,729,384,53.88
3,3,1403,386,1505,463,47.82
3,4,971,212,1014,268,67.4
3,5,559,303,634,366,57.81
3,6,578,224,643,276,70.06
3,7,719,415,811,487,42.32
3,8,777,276,827,346,56.85
3,9,823,345,904,404,50.08
3,10,1040,251,1098,318,58.9
3,11,645,260,716,315,62.42
3,12,668,224,730,278,67.38
3,13,786,217,845,265,67.58
3,14,1196,344,1277,407,49.17
3,15,1115,393,1214,465,43.76
3,16,1226,279,1293,340,57.19
3,17,889,281,937,345,56.12
3,18,868,237,933,288,63.5
3,19,1172,205,1240,261,68.38
4,0,459,434,563,508,45.32
4,1,989,390,1073,459,43.66
4,2,1403,386,1505,463,47.85
4,3,657,320,729,384,53.88
4,4,971,212,1014,268,67.31
4,5,558,304,634,366,57.79
4,6,579,224,642,276,69.95
4,7,719,416,812,488,42.27
4,8,777,276,827,346,56.87
4,9,669,224,730,278,67.26
4,10,786,217,844,266,67.61
4,11,1040,251,1098,319,59.02
4,12,823,344,904,405,50.07
4,13,645,261,716,316,62.31
4,14,1196,344,1277,407,49.21
4,15,1116,393,1213,465,43.79
4,16,1227,280,1293,340,57.1
4,17,888,280,937,345,56.13
4,18,868,237,934,288,63.6
4,19,1171,206,1240,260,68.41
5,0,460,434,562,508,45.39
5,1,990,391,1073,460,43.67
5,2,579,225,643,276,70.01
5,3,972,211,1014,269,67.35
5,4,657,320,729,385,53.86
5,5,672,224,731,278,67.19
5,6,1404,385,1506,463,47.87
5,7,558,305,634,366,57.82
5,8,786,217,844,268,67.63
5,9,718,416,812,488,42.29
5,10,777,276,827,346,56.86
5,11,1040,251,1098,320,59.02
5,12,824,346,902,406,50.03
5,13,645,261,717,316,62.26
5,14,1115,393,1212,465,43.74
5,15,1196,344,1276,408,49.19
5,16,870,237,933,289,63.53
5,17,1226,280,1293,341,57.07
5,18,888,282,937,345,56.16
5,19,1173,207,1240,261,68.33
6,0,462,434,561,508,45.39
6,1,989,390,1074,461,43.62
6,2,659,320,729,386,53.82
6,3,972,213,1014,270,67.38
6,4,720,416,812,488,42.26
