frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,658,109,715,165,91.58
0,1,807,106,852,150,90.94
0,2,755,75,796,119,102.43
0,3,1116,78,1160,122,97.69
0,4,952,95,1002,136,93.56
0,5,985,45,1020,85,107.48
0,6,888,55,920,99,105.16
0,7,938,27,969,69,126.36
0,8,1026,93,1077,136,92.08
0,9,1069,22,1111,61,132.0
0,10,686,41,728,79,128.09
0,11,822,58,854,100,104.96
0,12,737,50,779,89,108.22
0,13,857,83,900,121,99.92
0,14,1187,54,1221,93,104.34
0,15,690,72,732,108,104.71
0,16,1201,85,1242,130,96.61
0,17,879,41,910,72,128.94
0,18,807,36,846,68,125.22
1,0,807,106,851,151,90.77
1,1,657,110,716,165,91.67
1,2,755,75,796,119,102.11
1,3,938,27,969,70,129.13
1,4,1069,22,1111,61,131.35
1,5,952,94,1002,135,93.92
1,6,888,55,921,99,104.94
1,7,1027,93,1077,136,93.93
1,8,1117,78,1160,122,97.55
1,9,986,45,1021,85,107.63
1,10,686,40,726,78,126.45
1,11,822,57,854,101,104.97
1,12,736,50,777,89,108.0
1,13,689,72,731,109,104.66
1,14,1186,54,1220,94,104.94
1,15,856,83,899,122,99.52
1,16,878,40,909,72,129.56
1,17,1192,87,1241,129,95.03
1,18,807,35,846,69,127.72
2,0,657,110,716,165,91.41
2,1,806,106,852,150,90.97
2,2,953,94,1002,136,93.24
2,3,889,54,920,99,104.86
2,4,755,76,796,119,102.1
2,5,1117,77,1161,122,97.72
2,6,1068,22,1110,61,131.96
2,7,1026,92,1077,136,94.55
2,8,938,27,969,69,129.32
2,9,985,46,1021,85,107.56
2,10,822,58,854,100,104.87
2,11,736,50,779,89,108.32
2,12,686,41,727,78,115.65
2,13,689,72,731,109,104.68
2,14,1188,54,1221,94,105.01
2,15,856,83,898,122,99.48
2,16,1196,86,1241,129,95.07
2,17,879,39,909,72,129.89
2,18,810,36,849,68,128.96
3,0,808,106,852,150,91.25
3,1,658,110,715,165,91.33
3,2,756,76,796,120,102.03
3,3,1026,93,1077,135,94.58
3,4,938,27,969,70,130.49
3,5,889,55,921,99,105.19
3,6,986,45,1020,85,107.16
3,7,953,94,1001,136,93.42
3,8,1115,78,1160,123,97.65
3,9,1068,23,1111,62,131.68
3,10,737,50,778,89,108.27
3,11,822,58,854,100,104.41
3,12,686,42,728,78,122.56
3,13,1187,54,1221,94,104.98
3,14,856,83,899,121,99.84
3,15,689,72,732,109,104.64
3,16,1202,85,1242,129,96.44
3,17,878,40,909,72,130.87
3,18,806,36,846,68,129.3
4,0,657,110,715,165,91.5
4,1,806,106,852,150,90.87
4,2,755,76,796,119,102.22
4,3,952,94,1002,136,93.67
4,4,889,55,920,99,105.12
4,5,1115,78,1160,123,96.95
4,6,985,45,1020,85,107.5
4,7,938,28,969,70,119.57
4,8,1026,92,1077,135,94.99
4,9,1069,22,1111,62,131.47
4,10,687,41,728,77,126.21
4,11,736,50,778,89,107.81
4,12,822,58,854,100,104.88
4,13,689,72,733,109,104.61
4,14,1188,54,1221,94,104.77
4,15,855,84,899,122,99.48
4,16,877,39,908,71,130.15
4,17,1195,86,1240,129,94.95
4,18,809,35,848,68,127.32
5,0,806,105,852,151,91.01
5,1,657,111,716,165,91.49
5,2,953,93,1002,136,93.37
5,3,1068,22,1111,61,132.09
5,4,755,75,796,119,102.38
5,5,888,55,920,99,104.92
5,6,985,44,1020,85,107.5
5,7,1115,78,1160,121,97.22
5,8,1026,92,1077,135,93.64
5,9,938,26,969,69,130.52
5,10,822,58,855,101,105.23
5,11,686,41,727,79,126.68
5,12,1187,53,1220,93,104.92
5,13,736,50,777,89,108.1
5,14,856,83,899,122,99.51
5,15,690,72,733,108,104.64
5,16,877,39,909,71,130.58
5,17,1194,84,1241,129,95.17
5,18,807,36,845,69,129.68
6,0,807,106,852,151,91.03
6,1,657,110,715,165,91.49
6,2,755,76,796,119,102.24
6,3,952,95,1002,137,93.43
6,4,1116,78,1160,123,96.97
6,5,938,28,969,70,128.57
6,6,1026,92,1077,136,93.31
6,7,889,54,921,99,105.51
6,8,985,45,1021,85,107.65
6,9,821,58,855,100,105.12
6,10,1070,23,1111,61,131.74
6,11,690,72,733,109,104.7
6,12,687,42,728,78,122.95
6,13,736,51,778,89,107.72
6,14,855,84,899,122,99.66
6,15,1188,53,1221,93,105.08
6,16,878,40,910,71,129.62
6,17,807,36,846,69,129.44
6,18,1201,85,1241,129,95.65
7,0,807,106,852,150,90.98
7,1,658,110,715,165,91.76
7,2,755,76,796,119,102.51
7,3,953,94,1002,136,93.05
7,4,1026,92,1076,136,92.74
7,5,938,28,970,70,128.29
7,6,889,54,921,99,105.3
7,7,985,45,1020,85,107.24
7,8,1116,78,1160,121,97.7
7,9,1070,23,1111,61,131.75
7,10,737,50,777,89,107.8
7,11,822,59,854,100,104.89
7,12,686,41,728,79,116.5
7,13,1187,53,1220,93,105.17
7,14,856,83,899,122,99.61
7,15,690,72,733,109,104.65
7,16,879,40,909,71,128.53
7,17,808,36,847,68,130.08
7,18,1202,85,1241,128,96.27
8,0,807,106,852,151,90.91
8,1,657,111,715,165,91.65
8,2,755,76,796,118,102.56
8,3,1117,78,1160,122,97.01
8,4,938,27,969,69,125.86
8,5,1069,22,1110,61,132.32
8,6,985,45,1020,85,107.69
8,7,952,94,1001,136,93.47
8,8,888,54,920,99,105.22
8,9,1026,91,1077,136,93.74
8,10,822,58,854,100,104.88
8,11,737,50,778,89,107.55
8,12,685,42,726,78,121.79
