frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1145,801,1239,871,32.86
0,1,1307,750,1385,822,38.67
0,2,1002,784,1097,855,32.34
0,3,1010,689,1103,760,38.57
0,4,668,509,738,564,56.72
0,5,1440,812,1540,889,38.15
0,6,1042,536,1104,585,54.32
0,7,723,803,817,887,30.89
0,8,773,505,845,554,57.63
0,9,779,596,841,672,45.82
0,10,984,516,1030,572,55.72
0,11,580,501,648,557,59.19
0,12,444,540,534,599,57.37
0,13,878,547,952,596,51.98
0,14,1051,591,1120,647,47.79
0,15,643,562,725,612,52.29
0,16,433,816,552,897,35.03
0,17,1195,523,1255,576,58.27
0,18,632,608,724,668,47.15
0,19,1407,665,1472,725,48.36
1,0,1307,748,1385,821,38.68
1,1,1145,802,1238,873,32.75
1,2,1003,783,1097,855,32.32
1,3,1440,809,1540,889,38.12
1,4,1009,690,1103,760,38.58
1,5,667,508,738,564,56.81
1,6,1043,536,1104,585,54.23
1,7,721,803,817,887,30.84
1,8,772,505,845,554,57.48
1,9,782,596,841,671,45.73
1,10,985,517,1031,571,55.62
1,11,581,500,647,557,59.16
1,12,445,540,533,598,57.3
1,13,1408,665,1472,726,48.37
1,14,1052,592,1120,648,47.67
1,15,878,546,951,596,52.12
1,16,644,562,726,612,52.45
1,17,632,607,724,666,47.17
1,18,1195,523,1256,574,58.24
1,19,433,816,554,895,35.07
2,0,1309,748,1385,821,38.65
2,1,1145,801,1239,871,32.78
2,2,1004,783,1097,854,32.32
2,3,1010,689,1102,759,38.58
2,4,669,508,737,564,56.73
2,5,781,595,840,670,45.69
2,6,1042,535,1104,584,54.19
2,7,985,515,1031,571,55.65
2,8,720,799,818,886,30.93
2,9,1438,808,1542,889,38.2
2,10,772,503,844,553,57.62
2,11,582,500,647,556,59.17
2,12,1052,592,1121,647,47.7
2,13,879,546,951,594,52.18
2,14,444,538,534,596,57.42
2,15,633,607,724,667,47.2
2,16,1195,523,1255,574,58.12
2,17,645,561,727,611,52.03
2,18,1408,666,1473,725,48.42
2,19,433,816,554,896,35.01
3,0,1308,748,1385,821,38.63
3,1,1146,799,1240,871,32.82
3,2,721,800,817,886,30.9
3,3,1003,783,1097,853,32.33
3,4,1011,690,1102,759,38.62
3,5,782,595,840,669,45.68
3,6,1042,535,1105,584,54.25
3,7,670,507,738,563,56.8
3,8,772,502,846,553,57.62
3,9,985,514,1031,570,55.73
3,10,1436,810,1541,888,38.18
3,11,581,499,647,555,59.28
3,12,1052,591,1121,646,47.76
3,13,879,545,953,593,52.15
3,14,443,539,534,596,57.42
3,15,633,606,723,665,47.16
3,16,1193,522,1256,574,58.12
3,17,645,561,726,610,52.11
3,18,1408,666,1473,724,48.48
3,19,433,814,554,894,35.02
4,0,1146,799,1240,871,32.82
4,1,1308,748,1386,820,38.65
4,2,1011,690,1102,759,38.58
4,3,1042,534,1104,583,54.27
4,4,1004,782,1096,854,32.29
4,5,1438,809,1543,889,38.22
4,6,670,508,738,562,56.78
4,7,724,797,816,886,30.91
4,8,774,502,844,552,57.57
4,9,783,595,840,668,45.68
4,10,986,514,1031,570,55.75
4,11,582,498,646,554,59.38
4,12,880,546,952,593,52.01
4,13,1052,591,1121,645,47.86
4,14,443,537,534,596,57.43
4,15,1192,524,1258,571,58.16
4,16,645,561,725,609,51.94
4,17,636,605,723,666,47.03
4,18,1408,666,1474,723,48.48
4,19,434,814,553,894,34.99
5,0,1307,748,1386,820,38.56
5,1,1146,800,1239,872,32.79
5,2,1004,783,1097,853,32.31
5,3,1010,689,1103,758,38.58
5,4,1042,533,1105,583,54.28
5,5,722,798,817,886,30.91
5,6,1439,810,1542,888,38.23
5,7,783,595,840,668,45.69
5,8,671,507,739,563,56.78
5,9,985,514,1032,571,55.62
5,10,772,502,847,553,57.51
5,11,581,498,646,554,59.4
5,12,1052,591,1121,646,47.76
5,13,442,537,534,596,57.41
5,14,879,544,953,593,52.05
5,15,1192,523,1258,573,58.04
5,16,634,605,724,667,47.03
5,17,644,561,726,610,51.87
5,18,1407,665,1475,724,48.49
5,19,435,815,553,893,35.01
6,0,1308,748,1386,820,38.55
6,1,1146,801,1238,871,32.77
6,2,1004,783,1098,854,32.3
6,3,783,595,841,669,45.66
6,4,720,799,817,886,30.95
6,5,1010,689,1103,759,38.63
6,6,1042,535,1104,584,54.15
6,7,669,508,738,563,56.84
6,8,985,514,1031,570,55.74
6,9,1438,809,1540,887,38.2
6,10,773,503,845,553,57.43
6,11,581,499,646,555,59.34
6,12,1053,591,1120,647,47.72
6,13,879,546,953,594,52.01
6,14,445,538,535,596,57.36
6,15,1194,523,1256,573,58.05
6,16,646,561,726,610,51.52
6,17,632,606,724,666,47.1
6,18,1408,666,1474,723,48.53
6,19,434,815,553,894,35.03
7,0,1308,749,1385,821,38.61
7,1,1145,801,1239,872,32.76
7,2,1010,690,1102,760,38.55
7,3,721,802,817,887,30.84
7,4,1002,784,1097,855,32.28
7,5,668,509,739,564,56.93
7,6,1440,809,1539,889,38.2
7,7,784,595,839,671,45.65
7,8,772,505,846,554,57.4
7,9,1042,536,1105,585,54.12
7,10,581,501,648,557,59.21
7,11,985,516,1031,571,55.59
7,12,445,540,534,598,57.25
7,13,879,546,952,596,52.04
7,14,1051,592,1122,648,47.71
7,15,632,607,723,666,47.11
7,16,645,563,726,612,51.28
7,17,1193,523,1256,575,58.03
7,18,1408,665,1472,727,48.42
7,19,434,817,554,895,34.94
8,0,1307,750,1385,821,38.62
8,1,1144,801,1239,872,32.77
8,2,783,597,839,672,45.61
8,3,1002,783,1097,855,32.26
8,4,772,505,845,554,57.46
8,5,1009,691,1103,760,38.62
8,6,667,509,738,563,56.96
8,7,721,801,817,888,30.84
8,8,1438,806,1541,889,38.22
8,9,1042,535,1104,585,54.18
8,10,985,517,1030,571,55.53
8,11,581,501,647,557,59.22
8,12,446,540,533,599,57.28
8,13,878,547,952,596,52.02
8,14,1190,524,1256,575,58.16
8,15,1051,592,1122,648,47.72
8,16,1408,665,1473,725,48.53
8,17,644,563,725,612,51.83
8,18,632,608,723,666,47.02
8,19,433,817,554,897,34.73
9,0,1308,749,1385,821,38.61
9,1,1144,801,1238,871,32.75
9,2,720,802,817,887,30.88
9,3,1010,689,1103,760,38.64
9,4,1440,809,1540,890,38.16
9,5,784,596,839,671,45.69
9,6,1001,783,1097,854,32.29
9,7,667,509,739,564,56.92
9,8,772,505,846,554,57.42
9,9,1041,536,1105,585,54.13
9,10,984,516,1031,571,55.54
9,11,582,500,647,557,59.25
9,12,879,546,952,595,52.1
9,13,444,540,533,599,57.45
9,14,1191,524,1256,574,58.19
9,15,1051,592,1122,648,47.72
9,16,632,607,723,667,47.07
9,17,645,562,725,612,51.75
9,18,1408,665,1474,727,48.5
9,19,433,816,555,896,34.85
10,0,1309,748,1385,819,38.58
10,1,1146,800,1239,871,32.78
10,2,783,595,840,669,45.67
10,3,1010,691,1101,760,38.64
10,4,1005,783,1096,854,32.29
10,5,669,508,739,563,56.91
10,6,1041,535,1105,584,54.21
10,7,772,502,845,553,57.55
10,8,1440,807,1540,889,38.25
10,9,720,800,818,886,30.94
10,10,985,515,1031,569,55.79
10,11,581,499,646,555,59.33
10,12,1050,591,1121,647,47.87
10,13,444,539,533,597,57.38
10,14,878,545,952,594,52.1
10,15,633,606,723,667,47.08
10,16,645,562,725,610,51.75
10,17,1408,666,1474,725,48.5
10,18,1195,523,1257,574,58.18
10,19,435,814,555,893,34.96
11,0,1308,747,1386,819,38.64
11,1,1145,799,1240,871,32.8
11,2,1010,691,1102,759,38.63
11,3,1004,782,1097,854,32.33
11,4,1439,809,1541,889,38.2
11,5,1042,534,1104,584,54.16
11,6,781,594,841,670,45.72
11,7,669,508,739,562,56.88
11,8,722,798,817,886,30.97
11,9,772,502,845,553,57.6
11,10,985,514,1031,569,55.8
11,11,581,498,646,555,59.44
11,12,1051,591,1120,646,47.84
11,13,444,538,535,596,57.61
11,14,878,546,953,594,52.03
11,15,1192,524,1257,573,58.16
11,16,634,606,724,666,47.07
11,17,1408,664,1474,724,48.58
11,18,645,562,725,609,51.74
11,19,434,815,555,894,34.98
12,0,1308,748,1386,820,38.61
12,1,1145,800,1239,872,32.75
12,2,1004,783,1097,855,32.27
12,3,1011,689,1102,758,38.71
12,4,782,595,840,669,45.69
12,5,1042,534,1105,583,54.21
12,6,670,508,739,562,56.82
12,7,721,799,818,886,30.92
12,8,1437,807,1540,889,38.21
12,9,985,514,1032,570,55.81
12,10,772,502,846,553,57.52
12,11,581,498,646,555,59.37
12,12,1051,591,1121,646,47.84
12,13,445,537,534,596,57.48
12,14,878,544,953,593,52.11
12,15,1191,524,1258,573,58.23
12,16,634,605,723,666,47.08
12,17,1408,665,1473,723,48.59
12,18,645,561,726,610,51.76
12,19,435,815,556,892,34.93
13,0,1307,749,1385,821,38.73
13,1,1144,801,1238,871,32.74
13,2,721,802,817,887,30.88
13,3,783,595,840,670,45.71
13,4,1004,783,1097,855,32.28
13,5,1010,689,1101,759,38.65
13,6,669,508,738,563,56.91
13,7,1042,535,1103,585,54.16
13,8,1439,807,1540,889,38.2
13,9,985,513,1030,570,55.82
13,10,581,499,646,555,59.32
13,11,772,502,844,553,57.54
13,12,1053,592,1119,648,47.73
13,13,879,545,951,594,52.14
13,14,444,539,535,596,57.41
13,15,1192,524,1255,573,58.06
13,16,633,607,723,666,47.15
13,17,1409,666,1473,725,48.5
13,18,646,562,725,610,51.64
13,19,434,815,555,894,34.96
14,0,1308,749,1385,821,38.67
14,1,1145,801,1238,872,32.73
14,2,1002,783,1097,854,32.31
14,3,667,508,739,563,57.01
14,4,1010,690,1102,759,38.62
14,5,784,595,840,670,45.71
14,6,1440,810,1540,889,38.19
14,7,1042,535,1105,585,54.19
14,8,985,515,1031,571,55.65
14,9,722,801,817,888,30.87
